,PUMA,YEAR,HHWT,GQ,PERWT,SEX,AGE,MARST,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,HCOVPRIV,HINSEMP,HINSCAID,HINSCARE,EDUC,EMPSTAT,EMPSTATD,LABFORCE,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WRKRECAL,WORKEDYR,INCTOT,INCWAGE,INCWELFR,INCINVST,INCEARN,POVERTY,DEPARTS,ARRIVES,sim_individual_id
0,17-1001,2012,88.0,1,61.0,1,21,6,1,0,0,3,1,1,1,1,1,7,1,10,2,2,4,3,5,3,3,14000,14000,0,0,14000,118,902,909,12
1,17-1001,2012,61.0,1,85.0,1,21,6,1,0,0,4,1,1,1,1,1,2,1,10,2,2,4,3,5,3,3,18000,0,0,0,18000,262,732,744,33
2,17-1001,2012,54.0,1,54.0,1,21,6,1,0,0,3,2,2,1,1,1,7,1,10,2,2,4,3,5,3,3,14000,14000,0,0,14000,118,642,654,401
3,17-1001,2012,106.0,1,69.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,3800,3800,0,0,3800,262,0,0,470
4,17-1001,2012,31.0,1,56.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,3,4,3,5,3,3,14000,14000,0,0,14000,501,0,0,702
5,17-1001,2012,183.0,1,183.0,1,21,6,1,0,0,3,2,2,2,2,1,7,1,10,2,2,4,3,5,3,3,12000,12000,0,0,12000,77,1545,1554,766
6,17-1001,2012,11.0,1,16.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,2000,2000,0,0,2000,501,732,744,780
7,17-1001,2012,38.0,1,38.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,9600,9600,0,0,9600,80,717,739,1028
8,17-1001,2012,20.0,1,19.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,17800,17800,0,0,17800,121,602,704,1029
9,17-1001,2012,27.0,1,37.0,1,21,6,1,0,0,3,1,1,1,1,1,6,2,20,2,1,1,2,4,3,2,0,0,0,0,0,115,0,0,1055
10,17-1001,2012,31.0,1,64.0,1,21,6,1,0,0,3,2,2,2,2,1,6,3,30,1,1,1,1,5,3,1,8400,0,0,0,0,187,0,0,1184
11,17-1001,2012,27.0,1,42.0,1,21,6,1,0,0,3,2,2,2,1,1,6,3,30,1,1,1,1,5,3,1,0,0,0,0,0,24,0,0,1223
12,17-1001,2012,11.0,3,11.0,1,21,6,1,0,0,3,1,1,1,1,1,6,3,30,1,3,4,3,5,3,2,0,0,0,0,0,0,0,0,1374
13,17-1001,2012,20.0,1,19.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,34000,34000,0,0,34000,290,405,429,1793
14,17-1001,2012,104.0,1,74.0,1,21,1,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,42000,42000,0,0,42000,413,2205,2214,1968
15,17-104,2012,33.0,1,52.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,14,2,2,1,1,3,3,3,3500,3500,0,0,3500,329,732,739,14525
16,17-104,2012,71.0,1,71.0,1,21,6,1,0,0,3,1,1,1,1,1,7,1,10,2,2,4,3,5,3,3,25000,25000,0,0,25000,211,632,644,14708
17,17-104,2012,18.0,1,19.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,9000,9000,0,0,9000,501,1305,1349,15076
18,17-104,2012,67.0,1,57.0,1,21,6,1,0,0,3,2,2,2,1,1,5,3,30,1,1,1,2,3,3,3,800,800,0,0,800,415,0,0,15310
19,17-104,2012,15.0,1,17.0,1,21,6,1,0,0,3,2,2,1,1,1,8,1,10,2,2,4,3,5,3,3,9000,9000,0,0,9000,76,1705,1709,15382
20,17-104,2012,79.0,1,74.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,1,1,5,3,3,5000,5000,0,0,5000,501,747,759,15981
21,17-105,2012,61.0,1,126.0,1,21,6,1,0,0,3,2,1,1,2,1,6,1,10,2,2,4,3,5,3,3,5400,5400,0,0,5400,143,0,0,25423
22,17-105,2012,38.0,1,92.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,26000,26000,0,0,26000,501,642,659,25603
23,17-105,2012,125.0,1,125.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,65000,65000,0,0,65000,501,435,439,25983
