,sex,sat_v,sat_m,hs_gpa,fy_gpa
0,1,65,62,3.4,3.18
1,2,58,64,4.0,3.33
2,2,56,60,3.75,3.25
3,1,42,53,3.75,2.42
4,1,55,52,4.0,2.63
5,2,55,56,4.0,2.91
6,1,57,65,2.8,2.83
7,1,53,62,3.8,2.51
8,2,67,77,4.0,3.82
9,1,41,44,2.6,2.54
10,1,58,70,3.75,3.38
11,2,45,57,3.75,3.02
12,2,43,45,2.8,2.6
13,2,50,58,3.75,3.81
14,1,54,66,3.5,3.02
15,2,55,57,3.75,3.48
16,2,44,53,3.2,2.15
17,1,53,68,4.0,3.8
18,2,54,49,3.75,3.13
19,2,47,55,4.0,3.4
20,1,64,76,4.0,3.59
21,2,39,33,3.25,1.62
22,1,52,65,3.9,3.61
23,1,49,58,3.5,2.54
24,1,46,40,3.5,2.51
25,2,43,49,2.0,0.0
26,1,63,72,4.0,3.72
27,2,46,45,2.3,0.87
28,1,45,53,3.5,2.79
29,1,35,45,3.5,2.0
30,2,54,53,4.0,3.69
31,2,66,66,3.75,3.48
32,1,40,50,3.0,2.49
33,2,53,67,4.0,3.92
34,1,64,62,2.8,3.05
35,1,44,39,2.75,2.4
36,1,69,64,3.5,2.71
37,2,47,60,3.75,1.58
38,1,33,48,2.0,1.38
39,1,61,63,3.75,2.52
40,2,40,42,2.75,2.16
41,1,52,62,3.0,2.57
42,1,56,61,2.25,2.64
43,1,38,49,3.5,2.47
44,1,54,47,3.0,1.0
45,1,33,43,3.0,2.73
46,2,36,45,2.67,2.42
47,2,36,47,3.0,2.3
48,2,64,60,3.8,3.33
49,1,49,42,3.1,2.37
50,1,57,66,3.0,2.11
51,1,50,60,3.0,2.91
52,2,48,49,3.0,3.29
53,2,54,55,3.25,2.67
54,1,64,66,3.2,2.78
55,2,57,50,3.8,3.13
56,2,49,55,2.5,2.94
57,2,64,68,4.0,4.0
58,1,66,57,3.75,2.9
59,2,43,46,3.5,2.92
60,1,46,50,2.9,1.91
61,1,41,51,2.9,3.11
62,1,62,64,2.3,2.02
63,1,43,63,2.8,2.51
64,2,52,52,4.0,3.51
65,2,45,54,4.0,3.24
66,2,45,59,3.8,2.02
67,2,71,59,4.0,2.65
68,2,43,52,3.25,1.74
69,1,55,54,2.7,1.54
70,1,40,62,3.5,2.34
71,2,66,61,3.0,2.49
72,1,54,62,3.25,2.49
73,1,45,60,2.75,2.08
74,1,57,56,3.0,2.19
75,2,37,51,2.5,1.8
76,2,35,40,2.8,2.22
77,1,61,59,3.5,2.95
78,2,50,51,3.25,2.67
79,1,50,56,4.0,2.89
80,1,44,57,3.5,2.66
81,1,58,50,3.0,2.18
82,2,53,56,3.5,2.81
83,1,42,52,3.75,2.06
84,1,60,57,4.0,2.8
85,1,39,53,3.0,2.59
86,1,49,50,3.5,2.33
87,1,45,65,4.0,3.55
88,1,60,67,4.0,2.75
89,2,50,43,3.75,3.59
90,1,29,50,3.25,1.54
91,1,48,60,3.75,2.98
92,2,34,40,3.0,1.28
93,1,49,47,2.5,1.24
94,2,50,67,4.0,2.93
95,2,53,52,3.75,2.48
96,1,62,63,4.0,2.98
97,2,53,56,2.7,1.17
98,1,46,55,3.5,2.04
99,2,63,57,3.2,2.37
100,2,44,64,3.5,3.0
101,2,63,57,2.75,2.98
102,2,49,58,3.4,2.55
103,1,42,55,2.8,1.86
104,1,58,56,2.0,2.09
105,1,63,73,4.0,2.89
106,2,62,64,4.0,3.38
107,2,57,60,3.9,3.94
108,1,45,71,3.0,2.28
109,1,59,72,3.0,2.43
110,2,45,64,4.0,2.77
111,2,52,52,2.0,3.33
112,1,43,64,3.0,2.39
113,2,43,46,3.7,2.37
114,1,60,68,4.0,3.82
115,1,50,77,3.75,3.63
116,1,61,58,2.5,1.78
117,1,48,59,3.0,3.22
118,1,71,70,3.5,2.42
119,1,54,71,4.0,3.82
120,2,53,54,4.0,3.6
121,2,45,46,3.75,1.84
122,1,55,68,3.5,3.3
123,1,63,66,3.8,3.7
124,1,51,59,3.0,2.89
125,1,43,39,2.3,2.38
126,2,50,49,3.75,2.97
127,2,51,50,4.0,3.37
128,1,57,64,3.75,3.18
129,2,42,44,3.0,1.33
130,1,57,64,4.0,3.0
131,1,58,66,4.0,3.75
132,1,40,57,2.6,2.24
133,2,49,44,2.75,2.44
134,1,52,73,2.5,2.72
135,1,62,58,2.5,1.69
136,2,52,59,3.75,3.19
137,2,35,50,3.5,3.1
138,2,54,59,4.0,2.71
139,2,67,70,4.0,3.45
140,2,52,45,3.25,3.36
141,2,45,53,3.2,1.0
142,1,51,73,3.75,3.08
143,2,53,51,2.75,3.16
144,1,67,66,3.75,3.66
145,2,59,63,4.0,3.82
146,1,64,70,3.75,3.94
147,2,58,58,3.75,3.79
148,2,46,57,3.25,2.91
149,1,39,56,3.0,2.33
150,2,45,55,3.5,3.06
151,1,48,54,3.0,1.91
152,2,41,58,3.0,2.47
153,2,54,60,3.5,2.96
154,1,54,55,3.67,2.13
155,2,38,32,2.4,1.98
156,2,57,66,3.5,3.64
157,2,44,59,2.0,0.6
158,2,35,52,3.0,2.39
159,1,60,53,3.5,1.95
160,1,53,62,4.0,3.37
161,2,41,52,4.0,3.02
162,1,44,44,3.0,1.03
163,2,51,54,4.0,3.42
164,2,54,69,4.0,3.31
165,1,68,69,3.5,2.31
166,1,56,67,4.0,2.61
167,1,41,49,2.0,0.0
168,1,62,71,3.7,3.24
169,2,55,57,4.0,3.48
170,2,34,37,2.8,2.26
171,2,49,43,3.25,2.4
172,2,49,62,3.75,3.76
173,2,49,61,2.75,1.14
174,1,42,65,2.25,1.47
175,1,49,48,3.0,2.0
176,2,57,45,2.25,1.13
177,2,43,47,2.5,1.7
178,1,40,46,2.0,1.14
179,1,49,54,3.2,2.54
180,1,56,46,2.5,1.64
181,1,38,50,2.5,2.95
182,1,58,64,3.0,3.17
183,2,41,47,4.0,1.12
184,2,42,51,2.5,1.72
185,1,53,51,2.3,1.91
186,2,53,41,2.9,3.0
187,2,53,59,2.75,3.2
188,1,62,69,3.0,3.25
189,2,59,69,3.2,2.26
190,2,45,45,3.0,2.73
191,1,58,57,3.4,2.47
192,2,62,57,4.0,3.19
193,2,37,55,3.5,1.38
194,2,53,56,3.25,2.8
195,1,50,63,3.4,2.52
196,2,45,63,2.75,2.53
197,2,35,41,2.0,2.24
198,2,35,32,2.25,1.43
199,2,44,41,2.5,2.06
200,2,52,53,3.5,3.52
201,1,41,43,2.25,1.58
202,2,32,38,2.2,0.82
203,1,65,64,2.5,2.21
204,1,50,48,2.0,1.18
205,1,58,57,2.5,3.64
206,1,42,50,2.7,2.37
207,1,39,43,2.25,1.18
208,1,53,70,4.0,3.19
209,1,49,54,3.0,1.59
210,1,52,66,3.75,3.14
211,1,51,56,2.75,3.63
212,1,58,57,3.0,3.13
213,1,56,64,4.0,3.09
214,1,40,58,2.75,2.21
215,2,63,56,4.0,2.86
216,1,48,53,2.67,1.16
217,2,53,62,4.0,3.89
218,2,73,60,4.0,3.89
219,1,47,41,3.0,1.45
220,1,57,49,3.0,2.69
221,2,44,56,2.6,2.27
222,2,49,54,3.33,2.25
223,2,62,57,4.0,3.36
224,1,50,68,3.0,2.32
225,2,61,49,4.0,2.91
226,2,64,59,4.0,3.77
227,1,48,64,3.8,3.04
228,1,36,53,2.75,1.44
229,2,42,60,3.8,2.07
230,1,54,61,3.25,2.69
231,2,49,51,3.75,2.67
232,1,54,51,3.5,1.97
233,1,43,49,2.25,1.08
234,1,31,46,2.0,0.92
235,2,39,33,3.5,1.7
236,2,55,59,3.25,3.0
237,2,53,57,3.75,3.34
238,1,47,45,3.75,1.69
239,1,69,61,4.0,3.37
240,2,55,38,2.75,1.52
241,1,44,55,3.75,2.73
242,2,53,50,3.25,1.91
243,2,68,62,3.7,2.98
244,2,39,35,3.1,2.33
245,1,40,45,3.0,1.79
246,1,44,54,3.75,3.48
247,2,52,52,3.0,1.63
248,2,59,49,3.0,2.33
249,2,63,54,3.75,3.35
250,1,62,71,4.0,3.43
251,1,48,41,2.3,1.71
252,1,52,52,3.75,3.19
253,1,43,50,2.5,1.69
254,1,47,64,4.0,3.08
255,2,33,32,3.0,1.43
256,2,67,54,3.25,2.79
257,2,51,41,3.5,1.7
258,2,43,52,4.0,3.23
259,2,40,42,3.5,2.12
260,1,50,58,4.0,3.67
261,2,76,57,4.0,3.94
262,2,47,50,3.5,1.4
263,2,45,49,3.4,1.9
264,2,41,38,3.6,1.56
265,1,56,54,4.0,1.85
266,1,57,58,3.0,3.0
267,1,36,52,3.4,2.37
268,1,38,50,3.75,2.31
269,1,59,66,4.0,3.77
270,2,40,51,3.8,2.35
271,1,58,62,4.0,3.79
272,2,52,52,3.75,2.54
273,2,64,53,3.0,2.19
274,2,42,47,3.0,2.36
275,1,41,52,2.2,2.05
276,2,38,49,3.25,2.19
277,2,50,55,3.25,1.8
278,2,66,52,2.8,3.23
279,2,41,59,3.3,0.48
280,1,46,62,2.1,2.02
281,2,59,51,3.4,2.44
282,1,45,49,2.4,1.77
283,1,46,58,3.7,3.2
284,2,50,58,2.7,2.15
285,1,50,60,3.5,2.6
286,2,58,57,3.6,3.38
287,1,56,50,2.5,0.55
288,1,46,57,4.0,3.76
289,2,47,48,3.25,3.06
290,2,45,51,3.1,1.7
291,1,55,65,2.1,2.62
292,2,53,56,2.8,1.65
293,2,51,55,3.5,1.89
294,2,42,39,3.1,0.77
295,1,50,65,2.9,3.24
296,1,46,57,2.8,2.93
297,2,69,55,4.0,3.57
298,2,55,53,2.8,2.72
299,2,48,53,3.3,2.4
300,1,52,46,2.5,2.03
301,1,53,52,2.7,2.21
302,1,58,60,2.3,2.15
303,2,50,48,2.6,1.75
304,2,44,50,2.75,2.04
305,2,39,51,2.75,1.15
306,2,45,53,2.5,1.79
307,2,63,64,3.8,3.63
308,2,47,47,2.7,2.0
309,2,62,56,3.25,3.13
310,2,44,57,2.3,2.67
311,1,39,38,3.2,2.24
312,2,42,42,2.9,3.04
313,2,48,43,2.8,3.27
314,1,41,45,3.4,3.28
315,1,50,59,2.5,2.56
316,1,48,63,3.8,2.85
317,2,50,62,3.3,3.38
318,1,57,62,3.2,2.84
319,2,47,55,3.3,3.22
320,1,57,66,2.6,2.24
321,1,36,56,3.1,2.08
322,1,42,51,3.1,2.67
323,2,49,38,3.2,2.13
324,1,62,75,3.8,3.55
325,1,42,66,3.3,1.5
326,1,47,53,2.8,2.54
327,2,49,58,3.5,1.19
328,1,45,53,2.2,2.08
329,2,39,42,2.75,0.0
330,1,43,50,3.25,1.69
331,1,39,50,3.0,2.26
332,2,54,56,3.7,3.13
333,2,47,46,2.9,1.73
334,2,38,43,2.7,2.58
335,2,39,63,2.8,2.09
336,1,55,70,3.7,3.0
337,2,54,61,3.0,2.04
338,1,65,60,3.5,2.94
339,2,44,43,4.0,2.31
340,1,56,59,3.75,2.63
341,2,51,61,3.5,2.79
342,1,40,58,2.9,1.9
343,2,47,50,3.5,3.0
344,2,52,51,2.8,1.83
345,1,48,54,2.8,2.33
346,1,50,58,3.2,3.24
347,1,53,59,3.2,2.7
348,1,54,44,2.7,1.5
349,1,51,42,3.0,3.0
350,1,53,59,2.4,2.34
351,2,58,66,4.0,3.44
352,2,48,60,3.0,1.88
353,1,57,60,2.1,2.86
354,2,40,34,2.75,2.56
355,1,41,40,2.0,1.49
356,1,49,57,2.8,2.5
357,2,49,50,2.9,1.83
358,1,55,57,2.5,2.38
359,1,37,40,3.1,1.82
360,1,43,46,2.8,2.12
361,1,47,59,3.1,2.59
362,1,53,57,3.0,2.59
363,2,40,50,3.1,2.02
364,2,45,48,3.7,2.93
365,2,46,47,2.9,2.24
366,1,54,54,2.5,2.19
367,1,41,60,3.4,1.95
368,1,64,64,4.0,3.54
369,2,62,61,3.75,2.86
370,1,48,56,3.8,2.17
371,2,46,49,3.4,2.3
372,1,36,64,3.5,2.48
373,2,40,48,3.5,3.02
374,2,46,60,3.5,3.14
375,1,55,60,2.7,2.22
376,1,51,36,2.9,3.27
377,2,42,35,2.5,2.47
378,2,50,53,2.8,2.85
379,2,50,52,4.0,3.77
380,1,41,50,2.7,2.91
381,1,50,53,3.5,2.61
382,2,50,53,4.0,3.78
383,1,46,54,2.9,1.19
384,2,60,62,3.2,2.37
385,1,49,65,3.7,3.69
386,1,43,59,2.7,1.73
387,2,50,47,2.7,2.48
388,2,49,60,3.0,2.35
389,1,52,50,3.5,1.95
390,2,62,52,3.2,3.46
391,2,47,56,2.8,2.27
392,2,41,57,2.5,2.14
393,1,43,64,2.5,3.34
394,2,46,48,3.3,2.42
395,1,52,67,3.3,3.22
396,1,47,71,2.4,1.3
397,1,47,61,3.2,1.79
398,2,32,54,3.0,2.8
399,2,45,45,2.6,2.8
400,1,59,59,2.4,0.8
401,2,52,40,3.5,2.45
402,2,46,56,3.7,2.33
403,1,31,51,2.7,1.76
404,2,35,48,3.0,2.88
405,1,45,57,3.1,2.52
406,1,54,53,3.2,1.54
407,2,43,47,3.7,2.66
408,2,52,50,3.9,3.16
409,1,49,58,3.8,1.94
410,2,45,49,3.1,2.91
411,2,62,51,2.9,2.37
412,1,61,64,4.0,3.67
413,1,50,59,4.0,4.0
414,1,46,53,2.6,2.94
415,2,39,64,2.9,1.37
416,1,42,46,2.75,2.13
417,2,46,57,3.3,2.68
418,1,40,62,2.7,2.71
419,1,45,35,2.4,1.57
420,1,53,56,2.5,2.38
421,2,67,59,3.4,1.16
422,2,59,58,3.9,2.81
423,2,47,58,3.4,2.52
424,2,39,45,2.5,1.72
425,2,39,53,2.9,2.23
426,1,54,58,3.0,1.43
427,1,46,52,2.5,1.54
428,2,59,56,3.8,3.24
429,1,48,60,3.6,2.18
430,1,43,51,2.3,1.77
431,1,48,62,3.4,2.16
432,2,34,53,3.5,2.49
433,2,54,61,4.0,3.74
434,1,46,57,2.8,3.29
435,2,36,43,2.9,1.37
436,1,53,59,4.0,3.83
437,2,64,66,3.7,2.9
438,1,54,58,2.8,2.2
439,1,57,55,2.7,2.11
440,2,51,33,2.5,3.15
441,2,46,53,3.4,2.65
442,2,45,43,3.0,1.98
443,2,55,58,3.8,2.93
444,2,49,55,3.7,3.1
445,2,46,50,3.7,3.34
446,2,49,62,3.6,2.75
447,2,50,52,3.4,2.9
448,1,57,58,4.0,2.06
449,2,42,40,3.2,1.87
450,1,55,48,3.2,2.8
451,2,54,40,2.6,1.38
452,2,50,62,3.9,2.37
453,1,29,58,2.7,0.9
454,1,39,58,2.5,2.38
455,2,39,38,2.6,1.62
456,1,43,43,2.9,1.42
457,2,34,40,2.8,1.52
458,2,49,57,3.7,2.65
459,1,38,60,2.9,1.92
460,2,54,53,3.3,0.66
461,1,43,68,3.8,1.85
462,1,49,55,2.2,2.36
463,1,44,57,3.3,1.86
464,1,46,44,2.7,1.35
465,2,47,57,2.9,2.8
466,1,56,53,2.8,2.24
467,2,43,51,3.8,2.17
468,1,57,57,3.3,3.22
469,2,39,49,3.1,2.02
470,2,41,52,2.9,1.52
471,1,33,57,2.8,2.27
472,2,39,49,2.6,2.85
473,1,36,59,2.9,2.62
474,2,42,59,3.5,2.54
475,2,58,51,3.8,3.76
476,1,41,57,2.9,1.71
477,1,41,59,3.3,1.88
478,2,46,55,3.3,2.54
479,2,50,57,3.2,2.25
480,1,39,49,2.9,1.32
481,2,44,33,3.5,2.71
482,2,57,59,3.3,2.67
483,1,55,57,3.4,2.0
484,2,44,58,3.7,3.26
485,2,37,38,2.9,1.51
486,2,47,48,2.7,2.33
487,1,53,60,3.8,2.82
488,2,43,58,3.8,3.51
489,1,45,47,3.7,1.0
490,2,48,49,3.75,3.27
491,1,49,54,2.8,0.73
492,1,49,55,4.0,3.17
493,2,47,54,4.0,2.69
494,2,32,57,2.7,0.52
495,1,37,50,2.2,1.77
496,1,40,57,3.7,2.35
497,1,55,55,2.9,2.06
498,1,53,57,3.4,2.23
499,2,47,47,2.6,1.67
500,2,58,71,4.0,3.16
501,1,35,53,3.9,2.24
502,2,47,46,3.7,2.71
503,1,52,64,3.9,3.98
504,1,36,48,2.8,2.2
505,2,38,47,2.5,2.88
506,1,54,57,3.4,3.0
507,2,41,44,3.7,1.55
508,1,45,58,3.9,2.0
509,1,24,29,2.47,2.19
510,2,59,62,3.5,3.86
511,1,45,55,2.8,1.47
512,2,59,62,4.0,3.94
513,1,37,58,2.4,1.37
514,1,44,59,3.5,3.08
515,1,54,64,3.8,1.95
516,2,59,62,3.8,3.52
517,1,48,55,3.2,1.74
518,2,44,59,3.2,3.17
519,2,61,56,3.5,2.67
520,1,49,55,2.3,2.14
521,1,53,52,3.0,2.54
522,2,55,49,2.3,1.98
523,2,46,45,2.3,2.04
524,1,49,57,2.1,1.7
525,1,53,62,3.7,1.8
526,1,70,74,4.0,4.0
527,2,48,52,3.9,4.0
528,2,36,41,3.0,0.61
529,2,49,57,3.8,3.34
530,2,48,56,3.7,2.92
531,1,53,62,3.8,3.62
532,1,66,67,3.2,3.07
533,2,41,57,3.4,3.0
534,1,42,62,3.2,2.43
535,2,38,45,3.4,3.11
536,1,43,57,3.1,1.5
537,2,49,54,3.7,2.58
538,2,53,40,3.33,2.24
539,1,40,55,2.1,1.96
540,1,45,56,2.5,2.23
541,2,53,51,2.8,2.24
542,1,43,57,2.9,2.76
543,2,49,52,3.1,2.59
544,1,41,52,2.1,1.68
545,2,38,47,3.1,2.92
546,1,55,56,2.8,2.31
547,1,41,57,3.5,2.56
548,2,39,55,3.8,2.73
549,2,63,49,3.4,3.11
550,2,43,44,2.8,1.83
551,1,47,47,2.6,2.88
552,1,39,57,3.0,3.14
553,1,46,51,2.6,1.87
554,2,45,52,3.1,2.27
555,2,51,55,3.4,2.56
556,1,40,44,3.1,2.35
557,2,42,55,3.4,3.02
558,1,50,60,3.8,2.44
559,1,50,58,3.7,1.33
560,1,56,52,3.25,1.13
561,1,54,52,3.4,3.4
562,2,48,36,2.7,1.96
563,1,53,49,3.5,1.96
564,1,48,58,3.8,3.17
565,2,45,58,3.2,1.6
566,2,50,52,3.0,2.37
567,1,52,53,3.5,1.43
568,2,62,48,3.2,2.74
569,1,46,48,3.2,1.95
570,1,42,50,3.1,2.42
571,2,48,52,3.6,3.04
572,1,51,59,2.5,3.0
573,2,50,42,3.5,3.73
574,2,55,48,3.1,3.17
575,1,56,63,3.0,1.57
576,1,52,60,3.2,1.71
577,1,51,57,2.5,2.09
578,2,41,49,2.6,3.4
579,1,33,38,3.5,2.1
580,2,47,43,2.6,1.66
581,2,54,49,3.5,3.16
582,1,55,56,3.7,2.09
583,2,49,57,3.7,3.6
584,1,45,57,2.7,0.85
585,1,57,59,3.3,1.88
586,1,45,54,3.5,2.53
587,1,60,60,3.7,1.82
588,1,41,52,2.7,1.33
589,2,47,51,2.56,2.81
590,1,44,43,1.8,1.49
591,2,49,55,3.5,2.51
592,2,68,51,3.1,1.61
593,2,39,41,2.7,1.65
594,2,33,37,2.8,1.7
595,2,50,54,3.6,3.13
596,2,46,58,3.5,2.6
597,2,35,40,3.25,1.87
598,1,26,50,3.2,2.24
599,2,36,55,2.8,1.6
600,2,51,54,3.7,2.98
601,2,47,51,3.9,3.6
602,1,47,50,3.1,1.43
603,1,44,62,3.7,3.02
604,1,50,50,3.1,3.15
605,1,34,52,3.3,2.0
606,2,33,46,2.6,1.57
607,2,38,34,2.8,1.78
608,2,46,59,3.6,2.77
609,1,42,56,3.8,3.25
610,1,59,55,3.5,3.3
611,1,42,37,4.5,1.13
612,2,50,53,3.9,3.17
613,2,41,55,3.4,2.04
614,2,42,53,3.0,1.69
615,1,41,65,2.5,1.8
616,2,52,62,3.5,2.29
617,1,62,67,4.0,3.41
618,2,36,38,3.5,2.0
619,2,47,56,4.0,3.11
620,1,38,58,2.7,2.38
621,1,45,63,3.3,2.62
622,2,63,63,3.8,3.71
623,1,44,50,3.8,3.27
624,1,42,61,2.5,2.4
625,1,51,63,2.5,3.25
626,1,57,59,3.3,1.98
627,1,49,61,3.5,3.04
628,1,37,64,4.0,2.8
629,1,62,71,4.0,4.0
630,1,47,59,2.5,1.78
631,1,55,65,3.0,2.54
632,2,43,42,2.8,1.92
633,1,56,74,4.0,3.48
634,2,52,48,2.74,1.62
635,1,47,60,3.5,2.56
636,2,51,50,3.3,3.35
637,1,41,66,2.7,2.0
638,2,43,42,3.0,1.97
639,1,58,51,3.0,3.21
640,1,47,37,2.6,0.67
641,1,41,57,3.5,2.38
642,1,42,50,2.3,1.86
643,2,50,43,2.3,2.53
644,1,55,55,4.0,1.44
645,1,45,59,3.5,2.19
646,2,35,42,2.8,1.44
647,1,43,50,3.4,2.36
648,1,48,44,3.0,2.21
649,2,40,57,3.0,2.6
650,1,44,58,3.25,0.36
651,1,47,61,3.3,2.47
652,2,43,47,3.5,2.16
653,2,39,53,2.7,1.63
654,1,47,57,2.8,1.83
655,2,34,69,2.1,2.66
656,2,49,48,3.3,3.04
657,2,47,45,2.4,2.54
658,2,43,53,2.6,2.02
659,1,61,49,2.2,1.49
660,1,48,55,3.8,1.13
661,2,37,46,3.1,2.02
662,2,51,50,3.7,2.9
663,2,35,60,2.75,1.81
664,2,47,67,3.6,4.0
665,1,41,37,2.0,2.0
666,2,43,42,2.75,2.54
667,2,49,48,4.0,2.65
668,1,58,77,4.0,3.43
669,2,47,45,3.7,2.91
670,1,47,53,4.0,3.21
671,1,37,52,2.5,1.75
672,1,36,36,2.3,3.12
673,2,56,58,3.0,2.09
674,2,47,58,3.5,2.11
675,1,56,50,3.3,2.56
676,2,43,54,3.2,2.56
677,2,45,48,3.0,1.24
678,1,55,60,3.0,2.8
679,1,55,35,2.6,2.17
680,2,46,47,3.4,2.42
681,2,39,51,3.6,3.56
682,2,50,58,3.3,3.24
683,2,45,57,3.6,3.42
684,1,52,66,3.8,2.53
685,2,47,47,2.8,2.38
686,1,48,47,2.4,2.24
687,1,35,53,2.7,2.12
688,2,46,58,2.8,2.63
689,2,54,47,2.5,1.98
690,2,50,50,3.2,1.69
691,1,58,59,4.0,2.47
692,1,49,60,4.0,2.34
693,2,43,47,2.67,2.58
694,1,42,52,3.0,2.0
695,1,46,51,2.7,1.63
696,2,52,55,3.5,3.37
697,1,45,46,2.8,1.64
698,1,62,60,3.8,2.88
699,2,58,62,4.0,3.12
700,2,57,55,4.0,2.33
701,2,60,59,3.0,2.45
702,1,43,51,2.5,2.22
703,1,51,65,3.5,2.17
704,1,37,55,2.3,2.44
705,1,49,48,3.1,2.98
706,2,44,54,2.7,2.29
707,2,44,52,3.5,2.56
708,2,27,38,2.5,1.8
709,1,48,55,3.1,2.43
710,1,41,59,3.5,2.61
711,2,35,58,3.1,3.09
712,1,46,54,2.6,2.53
713,1,52,64,2.7,2.48
714,1,61,60,3.5,3.94
715,1,48,64,3.4,2.86
716,2,58,58,2.9,2.31
717,1,44,40,2.6,2.18
718,1,49,57,3.25,3.07
719,1,40,45,2.1,1.64
720,2,52,60,3.0,2.7
721,1,36,50,3.5,2.08
722,2,57,55,4.0,3.51
723,2,48,62,4.0,3.63
724,1,39,44,3.0,1.63
725,2,54,61,4.0,3.76
726,2,57,47,2.8,2.96
727,1,40,48,3.25,2.83
728,1,35,40,3.0,1.36
729,1,61,65,3.8,2.91
730,1,50,57,3.2,2.65
731,2,41,52,3.0,2.56
732,1,49,68,3.0,1.89
733,1,50,57,2.8,2.04
734,1,60,64,3.25,2.67
735,1,54,72,3.75,3.29
736,1,41,56,2.6,1.74
737,1,44,41,2.8,2.98
738,1,44,55,2.5,2.28
739,2,50,42,2.4,1.21
740,1,40,52,2.5,1.24
741,2,55,54,3.5,3.47
742,2,47,44,3.1,2.37
743,2,38,57,4.0,3.49
744,1,56,47,2.7,1.41
745,2,49,52,4.0,2.04
746,1,58,60,3.7,3.49
747,1,51,64,2.6,1.7
748,1,42,53,2.5,1.19
749,2,52,49,3.6,3.63
750,2,48,51,3.9,2.98
751,1,48,62,3.4,2.35
752,2,53,52,3.6,2.38
753,2,57,57,3.8,2.38
754,1,44,57,3.2,2.4
755,2,29,60,2.5,1.92
