"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"2",44,45,3.6,2.92,"43-49"
"1",33,48,2.2,1.08,"24-43"
"2",47,53,2.8,2.24,"43-49"
"1",57,59,2.4,2.14,"49-76"
"1",54,45,2.6,1.41,"49-76"
"1",44,50,2.5,1.77,"43-49"
"2",47,47,3.4,2.96,"43-49"
"2",45,46,3.75,1.84,"43-49"
"2",34,50,3.6,3.34,"24-43"
"2",62,56,4,2.33,"49-76"
"2",50,62,3.75,3.25,"49-76"
"2",42,55,3.4,2.35,"24-43"
"2",49,50,3.75,3.1,"49-76"
"1",58,51,2.2,1.36,"49-76"
"1",41,50,2.7,2.91,"24-43"
"1",54,53,3.2,1.43,"49-76"
"2",52,53,4,3.41,"49-76"
"1",38,58,2.75,1.4,"24-43"
"2",50,48,3.7,3.63,"49-76"
"1",52,68,3.3,2.47,"49-76"
"1",70,74,4,3.55,"49-76"
"2",46,55,3.5,3.02,"43-49"
"1",63,66,4,3.21,"49-76"
"2",43,42,2.5,1.19,"43-49"
"1",43,49,2,1.18,"43-49"
"1",40,57,3.5,2.34,"24-43"
"2",49,54,4,2.67,"49-76"
"2",47,48,3.5,1.4,"43-49"
"2",39,64,3,2.47,"24-43"
"1",57,58,3.3,2.74,"49-76"
"2",39,35,2.8,1.51,"24-43"
"2",42,49,4,3.23,"24-43"
"2",62,61,3.8,3.52,"49-76"
"1",59,67,3,2.24,"49-76"
"1",44,54,3,2.24,"43-49"
"2",39,49,3,2.3,"24-43"
"1",54,66,3.7,2.05,"49-76"
"2",54,61,3.7,3.13,"49-76"
"2",51,50,3.75,3.13,"49-76"
"1",39,43,3,1.63,"24-43"
"2",36,35,2.3,2.42,"24-43"
"1",58,70,4,3.43,"49-76"
"1",64,59,3.5,3.17,"49-76"
"2",46,53,3.1,2.19,"43-49"
"2",52,49,3.25,2.35,"49-76"
"2",50,53,4,3.77,"49-76"
"2",64,66,4,3.76,"49-76"
"2",44,53,2.7,1.16,"43-49"
"2",48,51,3.9,3.23,"43-49"
"2",48,45,3.25,2.4,"43-49"
"2",50,58,3.75,2.93,"49-76"
"2",56,53,3.5,3.34,"49-76"
"1",41,50,2.3,2.24,"24-43"
"1",39,57,2.9,2.23,"24-43"
"2",37,51,3.6,3.04,"24-43"
"1",37,52,3,3.14,"24-43"
"1",44,59,3.5,2.79,"43-49"
"1",54,60,3.8,3.62,"49-76"
"1",52,66,3.9,3.83,"49-76"
"1",52,65,3.5,2.6,"49-76"
"2",46,50,3.3,2.69,"43-49"
"2",52,52,2,2.64,"49-76"
"1",69,69,3.5,2.31,"49-76"
"1",62,71,4,4,"49-76"
"1",46,54,2.6,2.4,"43-49"
"2",53,62,3.5,2.29,"49-76"
"2",39,51,3.1,2.08,"24-43"
"1",60,60,2.5,3.38,"49-76"
"2",50,58,3.75,3.25,"49-76"
"2",50,53,3.9,2.48,"49-76"
"1",60,68,4,3.82,"49-76"
"2",44,52,2.9,2.51,"43-49"
"2",35,40,3.5,3.28,"24-43"
"1",50,63,2.5,1.3,"49-76"
"1",36,45,3,3.14,"24-43"
"1",47,61,2.75,1.73,"43-49"
"2",51,55,3.5,2.57,"49-76"
"2",67,51,2.8,2.37,"49-76"
"1",49,60,4,3.69,"49-76"
"1",50,57,2.8,2.04,"49-76"
"1",33,66,2.9,2.62,"24-43"
"1",40,41,2,2.24,"24-43"
"2",51,59,3.7,2.9,"49-76"
"1",50,50,3.1,2.84,"49-76"
"1",36,64,3.5,2.86,"24-43"
"1",58,61,4,2.06,"49-76"
"1",48,41,2.7,2,"43-49"
"1",53,62,3.8,2.53,"49-76"
"1",52,67,3.75,3.14,"49-76"
"2",66,61,3,3.07,"49-76"
"1",58,57,2.5,3.64,"49-76"
"2",43,47,3,2.24,"43-49"
"2",50,57,3.7,2.19,"49-76"
"1",69,64,2.3,2.21,"49-76"
"1",48,55,3.8,2.17,"43-49"
"1",52,67,3.75,2.51,"49-76"
"2",48,52,3.1,1.69,"43-49"
"1",49,60,3.8,1.13,"49-76"
"2",43,47,3,2.24,"43-49"
"1",54,52,3.2,2.49,"49-76"
"1",48,62,3.4,3.02,"43-49"
"1",52,52,2.67,2.28,"49-76"
"1",55,48,3.2,2.31,"49-76"
"2",67,70,4,3.41,"49-76"
"2",53,56,2.7,1.17,"49-76"
"1",41,59,2.9,1.32,"24-43"
"1",40,50,2.2,2.36,"24-43"
"1",66,60,3.75,2.9,"49-76"
"1",64,62,4,3.21,"49-76"
"1",45,58,2.5,2.54,"43-49"
"2",45,54,3.5,2.54,"43-49"
"2",57,55,3.8,2.54,"49-76"
"2",57,55,3.5,3.38,"49-76"
"2",50,52,4,3.51,"49-76"
"2",53,50,3.25,1.8,"49-76"
"2",32,38,2.2,2.35,"24-43"
"2",39,31,2.3,1.72,"24-43"
"2",50,43,2.6,2.38,"49-76"
"1",54,47,3.7,2.86,"49-76"
"1",50,48,2.5,1.54,"49-76"
"1",52,67,4,2.89,"49-76"
"1",45,58,3.5,2.04,"43-49"
"1",63,66,4,3.12,"49-76"
"1",41,60,3.3,3.22,"24-43"
"1",67,57,3.7,1.16,"49-76"
"2",60,68,3.2,2.37,"49-76"
"2",36,35,3.25,1.43,"24-43"
"2",45,45,2.3,1.79,"43-49"
"1",47,66,3.5,2.36,"43-49"
"2",39,49,2.5,1.13,"24-43"
"2",49,52,3.6,2.67,"49-76"
"1",47,43,3.6,2.92,"43-49"
"1",44,54,3.3,2.19,"43-49"
"1",57,49,2.5,1.83,"49-76"
"1",45,57,2.7,2.38,"43-49"
"2",37,59,4,3.44,"24-43"
"2",52,53,3.3,3.35,"49-76"
"2",52,52,2.8,1.69,"49-76"
"1",52,66,3.9,2.89,"49-76"
"1",49,50,3.1,1.43,"49-76"
"1",60,68,3.7,3,"49-76"
"1",52,66,3.8,2.53,"49-76"
"1",50,53,2.8,2.19,"49-76"
"1",58,60,3.75,2.52,"49-76"
"1",47,59,2.75,1.5,"43-49"
"1",47,41,3,2.31,"43-49"
"1",52,52,3.75,2.63,"49-76"
"2",61,59,4,3.91,"49-76"
"1",57,66,3.1,1.98,"49-76"
"1",41,43,2.75,3.4,"24-43"
"2",59,68,4,4,"49-76"
"1",64,64,2.3,1.8,"49-76"
"1",50,56,3.4,1.8,"49-76"
"1",41,66,3.5,2.98,"24-43"
"1",48,56,3.2,2.33,"43-49"
"2",49,52,3.3,3.22,"49-76"
"1",45,55,2.5,2.67,"43-49"
"1",49,60,3.75,2.18,"49-76"
"1",43,50,3.25,3.4,"43-49"
"1",41,51,2.5,1.59,"24-43"
"1",48,60,3.3,3.38,"43-49"
"2",36,45,3.4,2.42,"24-43"
"2",39,52,3,2.74,"24-43"
"1",43,50,3.4,2.3,"43-49"
"1",53,62,3.8,2.63,"49-76"
"1",52,60,2.5,2.19,"49-76"
"1",41,57,2.6,1.74,"24-43"
"1",59,48,3,3.13,"49-76"
"1",46,57,2.8,2.5,"43-49"
"1",54,71,3.7,3.49,"49-76"
"2",63,49,3.4,3.8,"49-76"
"1",42,53,3.1,2.52,"24-43"
"1",40,55,2.3,2.14,"24-43"
"1",64,61,3.75,3.66,"49-76"
"2",50,49,3.2,2,"49-76"
"1",42,55,2.4,2.27,"24-43"
"1",48,62,3.8,1.17,"43-49"
"1",49,55,2.8,2.29,"49-76"
"2",49,58,3.2,2.13,"49-76"
"1",43,50,3.8,3.81,"43-49"
"2",35,32,2.3,1.8,"24-43"
"2",45,54,3.5,2.54,"43-49"
"1",43,59,2.5,2.28,"43-49"
"2",38,34,2.3,2.23,"24-43"
"1",44,41,2.9,1.03,"43-49"
"1",64,61,3.2,2.43,"49-76"
"2",67,70,3.7,2.42,"49-76"
"1",35,53,3.3,1.54,"24-43"
"1",57,58,2.1,2.64,"49-76"
"1",49,48,3.1,2.6,"49-76"
"2",37,59,4,3.44,"24-43"
"1",38,64,2.9,1.32,"24-43"
"1",55,65,2.1,1.36,"49-76"
"2",32,38,2.8,2.24,"24-43"
"2",55,56,3.2,2.72,"49-76"
"2",50,42,3.6,3.63,"49-76"
"2",47,47,3.5,2.42,"43-49"
"2",52,52,4,3.42,"49-76"
"2",54,47,2.25,1.18,"49-76"
"1",54,52,3,1.43,"49-76"
"1",43,55,2.8,2.28,"43-49"
"2",53,56,3.5,3.1,"49-76"
"1",43,68,3.3,1.86,"43-49"
"2",35,50,3,2.14,"24-43"
"1",56,52,3.2,2.95,"49-76"
"2",42,53,3.5,3.06,"24-43"
"2",39,42,2,1.88,"24-43"
"2",41,52,3,3.35,"24-43"
"2",44,54,2.7,2.38,"43-49"
"2",64,66,3.7,2.9,"49-76"
"1",51,57,4,3.61,"49-76"
"2",45,63,4,2.77,"43-49"
"1",36,53,3.2,2.24,"24-43"
"2",49,48,2.9,1.73,"49-76"
"1",52,65,2.5,1.3,"49-76"
"1",35,48,2.2,1.91,"24-43"
"2",58,51,4,2.27,"49-76"
"2",50,60,3.5,1.92,"49-76"
"1",51,57,3.4,2.23,"49-76"
"2",45,57,3.75,3.4,"43-49"
"1",55,65,3.3,2.8,"49-76"
"1",46,54,2.6,2.64,"43-49"
"2",50,55,3.5,2.79,"49-76"
"1",58,60,3.5,2.88,"49-76"
"1",53,57,3.2,3.24,"49-76"
"2",48,51,3.6,2.92,"43-49"
"2",42,51,2.9,3.11,"24-43"
"2",49,55,3.3,2.29,"49-76"
"1",53,52,3,2.19,"49-76"
"1",40,57,3.1,2.02,"24-43"
"1",49,50,2.75,2.21,"49-76"
"2",62,57,2.75,2.15,"49-76"
"2",53,56,2.8,2.17,"49-76"
"1",35,53,3.2,1.17,"24-43"
"2",63,56,3.75,3.35,"49-76"
"1",55,56,3.4,1.97,"49-76"
"2",57,66,4,3.82,"49-76"
"2",46,61,2.75,2.08,"43-49"
"2",49,57,3.5,2.51,"49-76"
"2",27,37,2.5,0.52,"24-43"
"2",42,40,3,2.22,"24-43"
"2",57,59,4,3.36,"49-76"
"1",69,61,4,3.37,"49-76"
"1",47,59,2.4,2.19,"43-49"
"2",64,52,3.2,3.46,"49-76"
"1",49,58,4,3.69,"49-76"
"1",57,59,3.5,2.75,"49-76"
"1",40,44,2.1,1.73,"24-43"
"2",50,62,3.75,1.94,"49-76"
"1",44,54,3.3,2,"43-49"
