"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"2",76,59,4,3.77,"49-76"
"1",58,57,3.5,2.95,"49-76"
"2",49,57,3.7,3.6,"49-76"
"1",57,58,3.3,1.98,"24-43"
"1",45,46,2.7,2.33,"49-76"
"1",44,55,2.6,2.4,"49-76"
"2",41,56,3,2.3,"49-76"
"2",44,43,3.2,1.03,"49-76"
"2",52,48,2.8,2.21,"49-76"
"2",62,58,3.7,2.9,"24-43"
"2",37,32,2.4,1.8,"49-76"
"2",52,45,3.4,2.45,"43-49"
"2",63,59,3.8,2.86,"43-49"
"1",49,61,3.4,2.55,"49-76"
"1",69,67,3.5,1.16,"49-76"
"1",54,59,3.75,3.62,"49-76"
"2",52,52,3.75,2.48,"43-49"
"1",44,59,3.5,2.69,"49-76"
"2",50,52,3.75,2.54,"49-76"
"1",49,63,3.8,3.17,"43-49"
"1",64,57,4,3.24,"49-76"
"2",43,47,3.5,2.96,"24-43"
"1",58,77,4,3.08,"49-76"
"2",32,31,2,1.49,"49-76"
"1",49,55,2.3,1.79,"43-49"
"1",46,50,3,2.29,"43-49"
"2",42,40,3.2,1.87,"49-76"
"2",49,51,3.75,2.67,"43-49"
"2",50,45,2.6,1.62,"43-49"
"1",47,60,3.3,3.38,"24-43"
"2",59,59,3.5,3.8,"49-76"
"2",42,51,3.1,2.52,"49-76"
"2",62,49,3.2,2.37,"24-43"
"1",59,65,3,1.98,"49-76"
"1",41,65,2.2,1.78,"49-76"
"2",37,46,3.1,2.02,"43-49"
"1",49,58,3.4,2.25,"49-76"
"2",48,49,3,2.6,"43-49"
"2",59,52,3.5,3.38,"24-43"
"1",33,51,2.8,1.6,"49-76"
"2",45,54,2.8,1,"24-43"
"1",55,62,3.7,2.86,"49-76"
"1",51,42,3.2,3.19,"49-76"
"2",53,40,3.25,2.35,"24-43"
"2",45,54,4,3.4,"49-76"
"2",53,44,2.75,2.44,"24-43"
"2",64,63,3.7,3.24,"24-43"
"2",49,62,3.3,2.47,"24-43"
"2",54,55,3.75,2.54,"49-76"
"2",53,37,3.3,3.35,"49-76"
"2",53,52,2.8,2.85,"49-76"
"2",41,52,3.8,2.33,"49-76"
"1",50,64,2.5,2.21,"43-49"
"1",42,46,2.8,1.92,"49-76"
"2",40,45,3.1,2.02,"49-76"
"1",56,67,4,2.75,"49-76"
"1",48,59,3,3.22,"49-76"
"1",62,75,4,3.55,"49-76"
"1",47,64,3.3,2.64,"49-76"
"1",45,64,2.75,2.49,"43-49"
"2",46,53,3.4,2.04,"43-49"
"2",62,66,3.75,2.81,"24-43"
"1",50,73,4,3.43,"49-76"
"1",44,56,3.8,3.02,"43-49"
"1",46,52,3,1.91,"49-76"
"2",34,42,2.8,1.63,"43-49"
"2",47,43,2.6,2.81,"43-49"
"1",52,66,4,3.98,"49-76"
"2",45,54,4,3.23,"43-49"
"2",51,42,3.5,1.89,"49-76"
"1",56,54,2.7,2.15,"24-43"
"2",46,44,3.1,2.98,"49-76"
"2",35,51,2.75,2.58,"49-76"
"1",40,50,3.7,2.24,"43-49"
"1",49,58,3.4,2.33,"49-76"
"1",57,57,2.8,2.85,"24-43"
"2",38,47,2.5,2.88,"24-43"
"2",46,53,3.4,3.02,"49-76"
"1",26,50,3.2,1.51,"49-76"
"1",50,59,4,4,"49-76"
"1",48,68,3,2.02,"43-49"
"1",62,65,2.3,3.25,"49-76"
"2",51,41,3.5,2.56,"49-76"
"1",52,66,3.75,1.95,"24-43"
"1",36,56,3.5,2.49,"49-76"
"1",55,70,3.7,1.95,"24-43"
"1",48,57,2.67,1.81,"49-76"
"1",58,50,3.4,2.47,"43-49"
"1",53,68,4,3.8,"49-76"
"2",51,55,3.5,1.92,"49-76"
"1",47,64,3.5,2.36,"24-43"
"2",64,59,4,3.48,"43-49"
"2",47,46,3.9,2.53,"24-43"
"1",59,72,3.5,3.3,"49-76"
"1",47,55,4,3.76,"49-76"
"1",61,72,3.5,3.86,"49-76"
"2",57,65,3.75,3.94,"49-76"
"1",55,67,3.2,2.31,"49-76"
"2",50,43,2.8,3.27,"43-49"
"1",55,68,3,2.29,"49-76"
"1",48,68,3,2.21,"43-49"
"1",56,53,3.3,2.95,"49-76"
"1",43,64,2.5,2.24,"49-76"
"2",54,69,3.25,2.49,"24-43"
"2",46,45,2.75,1.84,"49-76"
"1",41,58,3.3,3.22,"49-76"
"1",56,72,3.7,2.43,"49-76"
"1",52,50,3.2,2.54,"49-76"
"1",60,68,4,3.66,"43-49"
"1",52,68,3.9,4,"49-76"
"2",53,51,2.7,1.62,"43-49"
"2",38,59,3.8,2.98,"49-76"
"2",52,50,3.9,3.3,"43-49"
"2",46,48,3.3,3.22,"43-49"
"2",45,41,2.8,1.98,"49-76"
"2",37,38,2.2,2.35,"49-76"
"2",47,43,2.7,1.87,"49-76"
"2",52,48,3,2.6,"43-49"
"1",57,66,3,3.17,"49-76"
"1",50,63,2.9,2.48,"49-76"
"1",44,57,3.75,2.38,"49-76"
"1",42,57,2.8,0.38,"43-49"
"1",58,59,4,3.37,"49-76"
"1",65,59,3.5,2,"49-76"
"1",52,67,3.3,2.64,"49-76"
"2",47,46,3.7,2.66,"43-49"
"2",47,58,3.5,1.4,"49-76"
"2",46,57,3.75,3.34,"49-76"
"1",44,55,2.75,1.4,"49-76"
"2",38,48,2.8,1.92,"24-43"
"2",42,58,4,3.34,"49-76"
"1",44,68,3.3,3.22,"49-76"
"1",35,55,2.2,1.78,"24-43"
"1",50,55,3,2.29,"49-76"
"1",62,50,3,2.19,"49-76"
"2",49,33,2.9,3.27,"49-76"
"2",47,57,3.75,3.4,"49-76"
"2",34,37,3.5,2.71,"24-43"
"1",42,66,2.75,2.48,"49-76"
"1",62,73,3.8,3.55,"49-76"
"1",52,64,2.7,2,"49-76"
"1",38,38,3.5,2.71,"43-49"
"1",54,60,3.5,3.86,"49-76"
"1",64,74,4,3.48,"49-76"
"1",43,57,2.8,2.28,"49-76"
"1",47,61,3.1,2.18,"49-76"
"1",65,66,3.5,3.02,"49-76"
"2",45,58,4,3.34,"49-76"
"1",50,72,3,2.02,"43-49"
"1",44,48,2.25,0.95,"24-43"
"2",59,60,3.5,3.18,"43-49"
"1",56,63,2.8,2.95,"43-49"
"1",65,62,3.5,3.18,"24-43"
"1",44,55,2.5,2.4,"49-76"
"1",48,60,3.6,2.98,"49-76"
"2",44,44,2.7,1.87,"24-43"
"1",42,66,2.8,0.38,"49-76"
"1",53,62,3.2,2.7,"43-49"
"1",45,43,2.7,1.84,"24-43"
"1",39,57,2.9,2.09,"49-76"
"1",36,49,3.4,2.08,"49-76"
"2",47,51,2.67,1.84,"24-43"
"2",53,60,2.75,3.2,"43-49"
"1",49,61,3.25,2.64,"49-76"
"1",43,50,3.4,2.16,"49-76"
"1",67,66,3.75,2.52,"49-76"
"1",50,40,2,1.31,"49-76"
"1",42,51,3.2,2.4,"24-43"
"1",64,71,3.6,2.96,"49-76"
"1",44,60,3.67,3.48,"49-76"
"2",60,61,3.2,2.11,"24-43"
"1",52,62,3.1,1.71,"49-76"
"1",49,54,2.3,2.38,"49-76"
"1",63,72,4,3.59,"49-76"
"2",49,50,3.7,2.58,"24-43"
"1",48,60,3,4,"49-76"
"1",47,50,3.1,1.91,"49-76"
"1",64,69,3.2,2.78,"43-49"
"2",44,60,3.7,2.02,"24-43"
"1",53,62,3.2,1.79,"49-76"
"2",34,50,2,1.78,"49-76"
"2",69,52,4,3.69,"24-43"
"1",33,57,2.8,2.62,"49-76"
"2",37,32,2.4,3.12,"24-43"
"1",59,64,3,2.67,"24-43"
"1",58,62,4,3.54,"49-76"
"2",54,59,4,2.71,"49-76"
"1",55,54,2.7,2.15,"49-76"
"1",50,53,3,3.15,"49-76"
"1",35,50,3.5,1.38,"49-76"
"2",55,52,3.5,3.31,"43-49"
"1",62,58,2.5,3.64,"49-76"
"1",55,56,2.7,3.63,"49-76"
"2",66,57,3,3,"24-43"
"2",52,51,2.75,2.28,"49-76"
"2",39,49,2.6,0.57,"49-76"
"2",49,36,2.56,2.4,"43-49"
"2",58,58,4,3.19,"24-43"
"2",40,33,3.5,1.56,"24-43"
"1",54,72,3.7,2.43,"43-49"
"1",37,46,2.3,2.42,"49-76"
"2",66,64,2.8,2.85,"24-43"
"1",64,64,2.8,3.05,"24-43"
"2",46,43,2.25,1.43,"49-76"
"1",42,43,2.25,1.58,"49-76"
"2",59,58,3.8,3.11,"49-76"
"2",38,63,2.7,2.49,"24-43"
"2",44,52,3.6,2.93,"24-43"
"2",41,56,2.6,1.37,"49-76"
"2",64,56,4,3.69,"49-76"
"1",35,45,3,3.14,"49-76"
"2",35,41,3.1,2.22,"49-76"
"1",49,54,2.3,2.14,"49-76"
"2",58,59,3.5,3.16,"49-76"
"1",60,65,4,3.09,"24-43"
"1",52,73,2.7,2.57,"49-76"
"2",48,53,3.75,2.93,"43-49"
"2",46,50,3.3,3.35,"49-76"
"1",42,55,2.75,1.81,"49-76"
"2",53,51,2.7,2.48,"43-49"
"1",51,59,2.5,3,"49-76"
"1",29,38,2.7,1.62,"43-49"
"2",43,45,2.8,2.28,"49-76"
