,Unnamed: 0,PUMA,YEAR,HHWT,GQ,PERWT,SEX,AGE,MARST,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,HCOVPRIV,HINSEMP,HINSCAID,HINSCARE,EDUC,EMPSTAT,EMPSTATD,LABFORCE,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WRKRECAL,WORKEDYR,INCTOT,INCWAGE,INCWELFR,INCINVST,INCEARN,POVERTY,DEPARTS,ARRIVES,sim_individual_id
0,9,39-4000,2012,49.0,1,18.0,1,21,6,1,0,0,3,1,2,2,1,1,6,1,10,2,1,4,2,5,2,2,18061,7280,0,13,16190,125,697,659,915069
1,72,39-1805,2012,133.0,1,198.0,1,21,5,1,0,0,3,1,1,1,1,1,5,2,19,1,1,1,1,5,2,3,61,2210,0,3,1870,153,44,10,333457
2,1592,17-401,2012,82.0,1,84.0,1,22,5,1,0,0,3,1,2,2,1,1,6,1,20,1,1,1,2,4,2,3,-664,0,0,-2,16000,289,17,0,382544
3,895,17-3310,2012,95.0,3,33.0,1,22,6,1,0,0,3,1,1,2,1,1,9,2,10,1,1,1,1,5,2,3,1140,47330,0,0,24950,175,20,562,795162
4,148,17-3410,2012,26.0,1,130.0,1,22,6,1,0,0,3,2,1,1,1,1,9,1,10,1,2,4,3,4,2,2,15832,4890,0,3,21300,325,1014,771,854455
5,1901,39-4500,2012,66.0,1,96.0,1,21,5,1,0,0,2,1,1,2,1,1,5,1,10,1,1,1,1,4,2,2,31167,41640,0,14,29600,489,733,837,868959
6,1,39-2700,2012,427.0,1,105.0,1,21,5,1,0,0,4,1,1,2,1,1,5,2,19,1,1,1,1,4,2,1,529,1610,0,-5,570,1,15,13,363532
7,594,17-1105,2012,128.0,1,100.0,1,22,5,1,0,0,3,1,1,1,1,1,5,2,30,1,1,1,1,3,2,1,238,1820,0,11,1900,0,0,6,421789
8,62,17-2501,2012,174.0,1,266.0,1,23,5,1,0,0,3,1,1,1,1,1,8,1,10,2,1,4,2,4,3,2,18940,11030,0,10,11090,491,2334,595,843852
9,2674,17-3005,2012,121.0,1,176.0,1,24,5,1,0,0,3,1,1,2,1,1,5,1,20,1,2,1,1,5,2,2,454,29140,0,20,780,25,0,0,497238
10,243,17-2100,2012,372.0,1,132.0,1,21,5,1,0,0,3,1,1,2,1,1,6,3,20,1,1,1,1,2,2,1,-1814,2590,0,2,-480,0,29,53,193078
11,0,17-3504,2012,45.0,1,132.0,1,21,6,1,0,0,3,1,1,2,1,1,6,2,30,1,1,1,1,2,3,2,955,740,0,11,150,132,0,0,921031
12,334,39-4109,2012,55.0,1,21.0,1,21,6,1,0,0,3,2,2,2,1,1,10,3,29,1,1,1,1,3,2,2,411,2110,0,21,940,0,28,21,437336
13,67,39-300,2012,122.0,1,121.0,1,22,6,1,0,0,3,1,1,2,1,1,5,1,10,1,2,1,2,5,3,3,21641,7820,0,-24,45590,252,1402,729,46902
14,901,17-3102,2012,32.0,3,87.0,1,22,6,1,0,0,3,1,2,1,1,1,10,1,10,2,2,1,2,5,3,2,12295,4890,0,1,14260,183,2149,865,203439
15,303,17-1701,2012,340.0,1,35.0,1,21,5,1,0,0,2,1,2,1,1,1,6,3,30,1,1,1,1,4,2,1,-1246,760,0,11,-120,282,34,28,386218
16,2634,17-900,2012,45.0,3,100.0,1,21,6,1,0,0,3,1,2,2,1,1,5,2,10,2,1,4,1,3,2,3,716,51180,0,-5,63120,161,729,0,1127091
17,197,17-3309,2012,76.0,1,132.0,1,21,6,1,0,0,3,1,1,1,1,1,9,1,10,1,1,4,2,4,2,2,31439,33860,0,6,16150,167,737,1446,729942
18,278,39-1900,2012,17.0,4,42.0,1,21,6,1,0,0,3,2,1,1,1,1,9,2,13,1,1,1,1,4,2,2,238,2180,0,5,330,1,0,11,348986
19,17,17-2501,2012,49.0,1,80.0,1,22,6,1,0,0,3,1,2,1,1,1,9,1,10,1,2,3,2,4,2,2,7461,27400,0,-20,39460,268,845,841,439011
20,45,17-1900,2012,80.0,1,116.0,1,22,5,1,0,0,3,1,1,1,1,1,9,3,30,1,1,4,1,4,2,2,-101,4780,0,14,11420,0,0,0,201973
21,781,39-909,2012,109.0,1,87.0,1,21,5,1,0,0,2,1,1,2,1,1,5,1,10,2,1,3,2,5,2,3,17669,31090,0,17,19920,172,2046,604,74089
22,118,39-500,2012,58.0,1,83.0,1,21,6,1,0,0,2,1,1,2,1,1,9,1,10,2,1,1,2,4,2,3,5404,23240,0,-14,17640,84,647,604,551042
23,2121,17-3409,2012,40.0,1,44.0,1,24,6,1,0,0,2,1,1,1,1,1,10,1,10,2,1,3,2,5,2,3,5453,24990,0,8,27620,102,650,1891,540878
24,2517,17-3420,2012,34.0,1,142.0,1,22,3,1,0,0,3,1,2,2,1,1,6,1,10,1,1,3,2,5,3,2,25613,38920,0,13,17420,294,692,1542,701088
25,2582,39-3500,2012,79.0,1,122.0,1,22,1,1,0,0,3,2,2,2,1,1,5,1,10,2,1,4,2,5,2,2,17248,5890,0,28,11120,191,2084,808,1134460
26,2220,39-5402,2012,80.0,1,123.0,1,21,6,1,0,0,3,2,2,1,1,1,6,1,10,2,2,4,2,4,2,2,27189,23020,0,21,6550,52,2345,944,921930
27,2186,17-2601,2012,407.0,1,107.0,1,21,6,1,0,0,2,1,1,2,1,1,6,2,20,1,1,1,1,5,2,2,2500,1210,0,19,-880,34,19,9,328017
28,2209,17-2000,2012,63.0,1,117.0,1,21,5,1,0,0,3,2,2,2,1,1,9,1,10,2,1,4,2,5,2,2,28321,16040,0,15,9360,260,889,1051,1022227
29,247,39-3500,2012,82.0,1,34.0,1,21,6,1,0,0,3,1,1,2,1,1,6,3,10,2,1,1,2,5,3,2,388,910,0,-1,12880,0,8,10,534962
30,56,17-501,2012,92.0,1,167.0,1,21,6,1,0,0,3,2,1,2,1,1,10,2,19,1,1,1,1,2,2,3,19656,6380,0,-15,-580,0,15,5,368708
31,827,17-3306,2012,52.0,1,56.0,1,21,6,1,0,0,2,2,1,2,1,1,6,1,10,2,2,4,2,4,2,3,1631,4930,0,8,1460,96,8,1644,208478
32,409,17-2400,2012,53.0,1,137.0,1,23,5,1,0,0,3,1,2,1,1,1,9,2,30,1,2,1,1,4,2,2,2778,14700,0,14,14610,0,21,0,837365
33,1130,17-3422,2012,130.0,3,24.0,1,22,5,1,0,0,3,1,1,2,1,1,5,3,10,1,1,4,1,5,2,2,1434,32850,0,15,61500,157,0,0,1223973
34,837,17-3602,2012,86.0,1,85.0,1,23,6,1,0,0,3,1,1,2,1,1,6,1,10,2,2,3,2,5,2,2,19456,27000,0,20,15840,91,1187,940,763828
35,485,17-3205,2012,93.0,1,77.0,1,21,5,1,0,0,3,1,1,2,1,1,10,1,10,2,1,3,2,4,2,2,10456,26940,0,24,25930,470,739,686,883891
36,0,17-1205,2012,32.0,1,81.0,1,22,5,1,0,0,3,2,2,1,1,1,9,1,10,2,1,3,3,4,2,2,19479,48360,0,-8,32200,501,704,811,373983
37,966,39-1801,2012,89.0,1,34.0,1,21,5,1,0,0,3,1,1,2,1,1,6,1,10,2,2,3,1,5,3,3,12519,15610,0,0,14900,491,1623,1301,939219
38,276,17-1204,2012,132.0,1,264.0,1,21,5,1,0,0,3,2,2,1,1,1,6,2,30,1,1,1,1,5,2,3,1762,40910,0,-16,1360,241,11,8,671937
39,128,17-3522,2012,146.0,1,101.0,1,21,5,1,0,0,3,2,1,1,1,1,9,1,10,2,2,4,1,4,3,2,13093,21450,0,-13,29750,353,22,0,932294
40,1313,39-2500,2012,179.0,1,248.0,1,22,6,1,0,0,3,1,1,2,1,1,10,1,10,2,1,4,2,5,2,2,23701,10460,0,14,24890,57,801,830,238244
41,783,39-4107,2012,215.0,3,111.0,1,24,5,1,0,0,3,2,2,2,1,1,10,1,10,2,1,4,3,4,2,2,10614,25040,0,6,48000,58,794,881,591356
42,332,39-1400,2012,100.0,1,79.0,1,22,5,1,0,0,3,1,2,2,1,1,10,1,10,2,2,3,2,5,2,2,20749,21660,0,27,12970,91,753,845,814536
43,675,17-900,2012,95.0,4,136.0,1,22,5,1,0,0,2,2,2,1,1,1,9,1,10,1,1,3,3,5,2,3,1756,26510,0,5,1300,413,12,1685,839755
44,409,39-2100,2012,142.0,1,361.0,1,22,5,1,0,0,3,1,1,2,1,1,9,2,19,1,1,1,3,4,3,3,-1307,5480,0,20,10500,125,29,1507,1022089
45,875,39-4200,2012,121.0,1,110.0,1,22,1,1,0,0,3,1,1,2,1,1,10,1,10,1,1,4,2,5,3,2,9663,28140,0,5,24670,111,1063,755,580022
46,319,17-3202,2012,430.0,3,103.0,1,21,5,1,0,0,3,1,2,2,1,1,4,2,13,1,1,1,1,3,2,1,1205,1610,0,-1,-140,201,6,13,279443
47,1049,17-3524,2012,59.0,1,255.0,1,22,1,1,0,0,3,1,2,1,1,1,10,1,10,1,1,3,2,5,2,3,14934,23800,0,20,62230,160,963,824,331750
48,0,17-3421,2012,122.0,1,211.0,1,21,5,1,0,0,3,1,1,1,1,1,6,2,20,1,1,1,1,3,3,2,-478,21300,0,-6,-390,317,32,7,300296
49,442,17-3308,2012,46.0,3,164.0,1,21,6,1,0,0,3,1,1,2,1,1,5,3,20,1,1,1,1,3,3,1,-1448,750,0,-5,10,173,0,3,651124
50,2538,17-1104,2012,253.0,1,635.0,1,22,1,1,0,0,2,2,1,1,1,1,5,1,10,2,2,1,2,5,2,2,11923,52430,0,-1,14080,269,2044,0,207854
51,2659,17-2801,2012,152.0,1,217.0,1,22,6,1,0,0,2,1,1,2,1,1,6,1,10,2,2,4,2,5,2,3,1898,29490,0,9,33370,127,13,1368,903899
52,591,17-3502,2012,71.0,1,71.0,1,23,6,1,0,0,3,2,1,2,1,1,6,2,10,2,1,4,2,4,2,2,25924,41840,0,9,16480,86,635,777,94830
53,777,39-1000,2012,91.0,1,36.0,1,22,6,1,0,0,3,1,1,2,2,1,6,1,10,2,1,4,2,4,3,2,554,12340,0,19,120,86,719,943,208602
54,831,39-5401,2012,68.0,4,136.0,1,21,5,1,0,0,3,1,2,2,1,1,9,3,10,1,2,3,2,5,3,3,44694,50650,0,3,23800,445,640,531,499041
55,2266,17-3309,2012,129.0,1,58.0,1,23,5,1,0,0,2,1,1,1,1,1,9,2,10,2,2,4,3,4,3,2,11856,4940,0,17,660,327,492,1436,917613
56,0,17-1001,2012,55.0,1,81.0,1,22,6,1,0,0,3,2,1,1,1,1,10,1,10,1,2,4,2,2,3,2,27105,3210,0,14,25370,360,859,709,647030
57,126,39-2200,2012,95.0,1,139.0,1,23,6,1,0,0,3,1,1,1,1,1,5,1,10,2,1,3,2,4,2,2,16468,7780,0,17,25990,190,612,674,732124
58,231,39-4603,2012,30.0,1,332.0,1,22,6,1,0,0,2,2,1,1,1,1,6,1,10,1,1,4,2,5,2,2,14070,8410,0,25,20990,75,2090,721,908690
59,1654,39-5504,2012,296.0,3,126.0,1,21,6,1,0,0,3,2,1,2,1,1,7,3,30,1,1,1,1,3,3,3,7565,1290,0,1,940,0,18,0,359822
60,1763,17-3527,2012,49.0,1,58.0,1,21,6,1,0,0,2,1,2,2,1,1,6,1,10,2,2,3,2,5,3,2,8319,14810,0,16,15440,242,820,779,703816
61,751,17-1701,2012,74.0,1,250.0,1,21,6,1,0,0,3,1,1,2,1,1,9,1,10,2,1,3,2,4,2,2,23416,12730,0,-7,18830,364,757,946,744585
62,788,17-3202,2012,102.0,1,35.0,1,23,5,1,0,0,3,2,1,1,1,1,5,1,10,2,2,3,2,4,2,2,27715,31360,0,-7,15290,475,1074,825,821346
63,1325,39-4105,2012,76.0,1,84.0,1,21,6,1,0,0,3,1,2,1,1,1,10,1,10,2,1,4,2,4,3,3,15701,8500,0,-10,23610,135,1761,653,577080
64,1493,17-300,2012,135.0,1,40.0,1,21,5,1,0,0,3,1,1,1,2,1,6,1,10,2,2,3,2,5,2,2,14657,33310,0,-1,18280,217,2280,1542,638482
65,580,39-4106,2012,71.0,1,65.0,1,21,6,1,0,0,2,2,1,2,2,1,6,1,10,2,1,4,2,5,2,2,18294,41860,0,21,11890,18,780,866,733313
66,135,17-2000,2012,45.0,1,56.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,1,1,2,5,2,2,21570,51690,0,9,22340,2,938,11,381140
67,897,17-501,2012,37.0,1,168.0,1,22,6,1,0,0,2,2,2,2,1,1,9,1,10,2,2,3,2,4,2,2,17347,50430,0,21,14820,52,861,752,1002743
68,2165,39-4200,2012,162.0,1,213.0,1,23,1,1,0,0,2,2,2,1,1,1,5,1,10,1,2,4,2,4,2,2,41536,6560,0,-3,19300,239,892,674,520022
69,891,39-5200,2012,98.0,1,247.0,1,21,5,1,0,0,3,2,1,2,1,1,5,1,10,2,2,4,1,4,3,3,1878,28860,0,15,19500,154,908,1477,12
