,sex,sat_v,sat_m,hs_gpa,fy_gpa
0,1,62,61,4.02,2.76
1,1,65,59,3.46,3.61
2,2,66,60,3.82,3.1
3,1,54,65,2.94,3.39
4,1,52,44,3.59,1.81
5,2,40,46,3.49,3.29
6,2,63,51,3.53,3.08
7,1,50,57,3.69,3.03
8,1,32,53,3.07,2.62
9,1,53,51,3.36,3.69
10,1,54,60,3.72,2.97
11,2,50,53,2.95,2.36
12,1,51,46,2.92,3.48
13,2,53,56,3.48,2.81
14,2,65,61,3.97,3.65
15,1,41,45,2.87,2.7
16,1,50,57,3.57,3.26
17,1,53,45,3.03,2.7
18,1,44,38,3.55,3.34
19,2,33,50,3.01,2.9
20,2,46,48,4.0,1.82
21,2,45,60,3.49,2.46
22,1,54,47,2.23,2.53
23,1,47,57,3.46,2.53
24,1,46,48,2.67,3.47
25,1,42,43,3.47,2.75
26,1,52,53,3.85,3.52
27,1,51,53,3.5,2.34
28,2,53,55,3.3,3.41
29,1,36,45,2.78,1.86
30,1,51,63,4.03,3.67
31,2,38,46,3.46,3.27
32,2,47,59,3.43,3.4
33,1,40,45,3.5,2.23
34,1,37,51,2.32,1.98
35,2,47,47,3.72,2.17
36,1,62,63,3.81,2.79
37,1,57,59,3.81,1.93
38,1,47,54,2.99,2.47
39,1,53,62,3.7,3.07
40,1,41,52,3.44,3.78
41,1,48,54,3.52,2.73
42,2,57,48,2.9,3.49
43,1,50,53,3.0,2.97
44,1,63,60,4.15,3.33
45,1,52,66,3.46,3.13
46,1,67,61,3.46,2.78
47,1,43,51,4.0,2.22
48,1,47,53,2.9,2.47
49,2,54,52,3.94,3.17
50,1,44,63,3.59,3.65
51,2,32,44,3.46,3.16
52,2,59,43,4.02,3.05
53,1,55,60,2.44,3.09
54,1,68,58,3.77,3.81
55,1,55,66,3.87,3.09
56,1,50,55,2.74,1.92
57,1,39,34,2.87,3.51
58,1,40,50,3.32,2.41
59,2,60,56,4.02,3.25
60,2,53,53,3.75,2.08
61,1,50,38,3.95,2.95
62,1,39,56,3.38,2.37
63,1,40,57,2.85,3.22
64,1,62,66,3.89,3.39
65,1,45,36,3.43,3.17
66,1,48,65,3.52,2.8
67,2,52,55,3.4,3.16
68,2,50,44,3.29,2.98
69,2,34,46,3.11,2.37
70,1,62,68,3.93,3.07
71,2,38,54,2.71,2.56
72,2,43,62,3.04,3.2
73,1,49,48,4.0,1.86
74,1,49,64,3.05,3.29
75,1,41,43,3.0,3.4
76,2,62,57,3.99,3.26
77,2,44,57,3.62,2.1
78,2,55,56,3.61,3.13
79,1,31,53,2.54,1.75
80,1,58,51,3.84,3.02
81,1,49,46,3.28,3.02
82,2,59,49,3.59,2.52
83,2,38,61,3.33,3.51
84,2,55,47,3.72,3.33
85,1,51,34,3.69,3.67
86,2,53,60,3.48,2.3
87,1,49,60,3.41,2.72
88,2,29,54,3.6,2.21
89,1,58,48,3.28,3.27
90,1,60,57,3.66,2.91
91,1,43,60,3.22,2.99
92,1,38,61,3.37,2.34
93,1,51,57,3.23,2.84
94,2,31,57,3.09,3.15
95,1,52,51,3.72,2.86
96,1,48,46,3.4,0.92
97,1,47,57,3.98,3.66
98,1,47,43,3.71,2.57
99,1,49,57,3.41,2.91
100,1,36,45,2.14,2.51
101,1,63,64,3.99,2.08
102,1,38,62,3.0,3.1
103,2,59,63,3.43,4.0
104,2,37,36,3.65,3.09
105,1,35,55,3.21,2.96
106,2,64,52,3.44,2.95
107,1,45,59,2.74,2.16
108,2,46,59,3.99,3.58
109,1,49,42,3.69,3.28
110,2,60,51,2.79,2.32
111,1,50,61,3.81,3.23
112,1,49,62,3.77,3.19
113,1,52,54,3.58,3.01
114,1,65,55,3.87,3.03
115,1,45,52,2.66,3.09
116,1,44,48,3.31,2.58
117,2,49,37,3.91,1.57
118,2,62,60,3.16,3.6
119,2,53,55,3.64,4.0
120,2,61,60,3.76,3.29
121,1,41,54,3.96,2.31
122,1,65,60,3.43,2.59
123,2,53,56,3.81,3.84
124,2,45,52,3.22,3.28
125,1,44,56,2.95,3.29
126,2,47,53,2.53,2.79
127,1,47,50,3.56,2.73
128,2,64,56,3.59,3.46
129,1,48,61,3.66,3.32
