,sex,sat_v,sat_m,hs_gpa,fy_gpa
0,1,60,70,3.59,3.43
1,1,47,57,3.03,2.87
2,1,50,63,3.83,2.84
3,1,36,44,1.97,1.88
4,1,43,55,2.49,2.38
5,1,50,63,2.42,1.57
6,1,57,69,3.59,3.0
7,1,42,60,2.62,3.54
8,1,45,61,2.68,2.28
9,1,59,69,3.74,3.37
10,1,59,53,2.67,1.1
11,1,57,65,3.72,3.6
12,1,49,38,2.66,2.49
13,1,40,56,3.15,2.67
14,1,41,40,2.56,1.97
15,1,48,59,3.81,2.49
16,1,49,58,2.76,2.27
17,1,66,61,3.21,3.36
18,1,45,66,3.18,3.02
19,1,36,48,2.82,2.41
20,1,47,57,3.5,1.65
21,1,58,61,3.21,3.52
22,1,46,53,1.8,1.71
23,1,55,65,3.81,2.18
24,1,32,29,2.67,1.74
25,1,47,51,2.35,2.15
26,1,40,51,2.9,3.33
27,1,57,69,3.97,3.12
28,1,44,39,2.47,1.83
29,1,72,66,3.58,2.84
30,1,35,45,2.73,2.39
31,1,30,43,2.52,2.6
32,1,50,62,3.65,2.99
33,1,51,65,2.46,1.08
34,1,52,46,2.29,2.94
35,1,56,71,2.79,3.68
36,2,44,64,3.45,3.23
37,1,42,44,2.0,2.94
38,1,56,58,3.95,3.46
39,1,43,39,2.78,2.29
40,2,45,45,2.93,1.83
41,1,47,57,3.58,2.98
42,1,36,61,2.69,1.88
43,1,51,53,2.14,1.38
44,1,46,57,2.85,2.74
45,1,29,56,2.23,2.53
46,1,44,50,2.37,2.88
47,1,54,59,2.95,1.9
48,1,30,51,2.28,2.46
49,1,44,73,2.92,2.36
50,1,68,63,3.98,2.97
51,1,56,74,3.61,2.57
52,2,67,60,3.15,3.2
53,1,35,49,3.02,2.33
54,2,41,36,1.97,2.44
55,1,56,67,3.78,2.48
56,1,51,67,2.78,2.33
57,1,39,56,2.95,2.52
58,1,58,52,3.6,3.21
59,1,45,42,2.18,2.49
60,1,34,49,2.1,2.81
61,1,44,51,3.61,2.3
62,1,45,51,2.17,2.02
63,1,47,62,3.97,3.79
64,1,56,68,3.79,3.35
65,1,37,46,1.83,1.72
66,1,50,61,2.4,1.94
67,2,47,52,3.9,2.71
68,2,42,46,2.32,2.19
69,1,56,71,3.85,3.33
70,1,45,62,3.88,2.87
71,1,47,52,2.46,2.19
72,1,51,68,3.91,3.28
73,1,57,69,3.87,2.53
74,1,34,47,3.18,2.96
75,1,44,53,2.58,2.68
76,1,59,61,3.2,2.77
77,1,35,66,3.11,2.47
78,1,52,67,3.85,3.57
79,1,54,56,2.98,2.26
80,1,39,54,2.89,2.74
81,1,51,56,2.57,2.0
82,1,32,61,2.14,2.07
83,1,62,62,3.49,3.52
84,1,50,64,3.74,2.98
85,2,51,42,3.15,2.7
86,1,45,58,2.9,1.85
87,1,44,58,2.13,2.44
88,1,49,62,2.53,2.09
89,1,48,51,2.96,2.27
90,1,64,66,3.24,3.62
91,1,53,58,3.58,3.44
92,1,43,58,2.59,2.63
93,1,54,75,3.57,3.56
94,1,50,55,3.13,1.78
95,2,37,35,2.94,1.81
96,1,41,47,2.94,1.49
97,1,52,55,4.04,3.48
98,1,40,46,3.98,2.48
99,1,38,60,3.1,2.22
100,1,61,61,3.72,2.06
101,1,44,51,3.81,1.89
102,2,56,62,3.74,3.23
103,1,50,55,3.76,3.44
104,1,44,51,3.11,2.34
105,1,57,60,3.13,2.93
106,1,32,61,2.6,2.35
107,1,40,61,2.97,2.02
