	Unnamed: 0	PUMA	YEAR	HHWT	GQ	PERWT	SEX	AGE	MARST	RACE	HISPAN	CITIZEN	SPEAKENG	HCOVANY	HCOVPRIV	HINSEMP	HINSCAID	HINSCARE	EDUC	EMPSTAT	EMPSTATD	LABFORCE	WRKLSTWK	ABSENT	LOOKING	AVAILBLE	WRKRECAL	WORKEDYR	INCTOT	INCWAGE	INCWELFR	INCINVST	INCEARN	POVERTY	DEPARTS	ARRIVES	sim_individual_id
0	145	17-2100	2012	100.0	1	228.0	1	21	6	1	0	0	3	2	2	1	1	1	5	3	11	2	1	4	2	4	3	3	0	0	0	5	4960	84	626	311	125215
1	159	17-1300	2012	8.0	1	2.0	1	21	5	1	0	0	3	2	1	1	1	1	6	1	24	2	1	4	2	4	2	3	0	0	0	7	0	79	138	36	149341
2	126	17-1701	2012	162.0	1	424.0	1	21	6	1	0	0	3	2	1	2	1	1	6	1	30	1	1	4	1	5	2	3	10252	0	0	11	4710	219	66	0	177319
3	68	17-1001	2012	83.0	1	2.0	1	21	6	1	0	0	3	1	1	2	1	1	5	1	10	2	1	1	2	4	2	3	1615	0	0	10	10150	367	302	0	199417
4	82	17-1701	2012	35.0	4	2.0	1	21	6	1	0	0	3	2	1	1	1	1	5	1	10	1	2	4	3	4	2	1	12254	2020	0	4	0	84	929	0	199417
5	38	17-2300	2012	116.0	3	109.0	1	21	6	1	0	0	3	1	1	2	1	1	7	1	27	2	2	4	2	4	3	3	5185	0	0	12	9390	0	1092	0	199417
6	199	17-202	2012	2.0	1	2.0	1	21	6	1	0	0	3	1	1	1	1	1	5	1	30	1	1	4	2	4	2	3	9810	5370	0	10	11090	501	1028	0	166589
7	199	17-2200	2012	10.0	2	2.0	1	21	6	1	0	0	3	2	1	2	1	1	5	1	10	2	1	1	1	4	3	3	9967	0	0	13	0	98	1976	1170	168864
8	0	17-2300	2012	120.0	2	2.0	1	21	6	1	0	0	3	2	1	2	1	1	5	1	23	1	2	1	3	4	2	3	0	20	0	11	5420	8	1095	255	160767
9	34	17-1900	2012	23.0	3	2.0	1	21	6	1	0	0	3	1	1	2	1	1	5	1	23	2	2	4	2	5	2	2	2838	0	0	5	2570	323	1180	257	142858
10	93	17-202	2012	25.0	1	33.0	1	21	5	1	0	0	3	2	1	2	1	1	5	1	23	1	2	4	2	4	3	3	0	0	0	19	10410	448	1019	0	44659
11	199	17-104	2012	183.0	3	2.0	1	21	6	1	0	0	3	2	1	2	1	1	5	1	10	2	2	4	1	4	3	2	10617	4590	0	0	2290	328	680	0	186676
