,Unnamed: 0,PUMA,YEAR,HHWT,GQ,PERWT,SEX,AGE,MARST,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,HCOVPRIV,HINSEMP,HINSCAID,HINSCARE,EDUC,EMPSTAT,EMPSTATD,LABFORCE,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WRKRECAL,WORKEDYR,INCTOT,INCWAGE,INCWELFR,INCINVST,INCEARN,POVERTY,DEPARTS,ARRIVES,sim_individual_id
0,987,17-2000,2012,46.0,1,7.0,1,21,5,1,0,0,3,2,2,1,1,1,6,1,10,1,2,3,3,5,3,3,0,2740,0,-20,44720,501,1070,1710,448225
1,188,17-2300,2012,33.0,1,1.0,1,21,5,1,0,0,3,2,1,2,1,1,6,1,10,1,2,4,1,5,2,3,16135,3050,0,7,4100,273,0,1533,1278010
2,557,17-1500,2012,2.0,1,80.0,1,21,6,1,0,0,3,1,2,1,1,1,5,1,10,2,2,4,3,4,3,2,1173,24030,0,0,19810,501,508,1532,835661
3,165,39-2300,2012,78.0,1,64.0,1,21,5,1,0,0,3,2,2,2,1,1,7,1,11,2,1,3,3,4,3,2,9641,13730,0,-38,30210,495,2014,1313,671663
4,726,39-4500,2012,182.0,1,156.0,1,21,6,1,0,0,3,2,1,1,1,1,7,1,10,1,1,3,3,5,2,2,17394,29400,0,29,9800,371,1334,918,577385
5,734,17-401,2012,53.0,1,154.0,1,21,5,1,0,0,3,2,2,1,1,1,7,1,18,1,2,3,3,5,3,2,16002,9960,0,-3,10290,486,1682,1512,506932
6,757,39-5402,2012,2.0,1,1.0,1,21,5,1,0,0,3,1,1,2,1,1,7,1,10,1,1,4,3,5,2,2,48879,12280,0,-39,75000,489,1781,976,230968
7,756,39-1200,2012,2.0,1,1.0,1,22,6,1,0,0,3,1,2,2,1,1,5,1,10,1,1,4,3,4,1,3,2455,20440,0,-38,3130,293,520,890,801391
8,970,39-5000,2012,2.0,1,36.0,1,21,5,1,0,0,3,2,1,1,1,1,6,3,30,1,1,1,1,3,2,1,0,0,0,-8,0,18,0,0,624517
9,972,39-3500,2012,2.0,3,35.0,1,21,3,1,0,0,3,2,1,1,1,1,6,3,29,1,1,1,1,3,1,1,0,2640,0,32,2180,14,53,0,601825
10,874,17-3502,2012,55.0,1,156.0,1,21,6,1,0,0,3,1,2,1,1,1,5,1,20,2,1,4,2,4,2,2,10792,59900,0,-27,4760,501,1390,0,12
11,166,17-2000,2012,48.0,1,257.0,1,21,6,1,0,0,3,2,1,1,1,1,6,1,10,2,1,4,1,4,1,2,8797,41540,0,16,120,501,1023,954,1132272
12,840,17-3502,2012,91.0,1,51.0,1,21,5,1,0,0,3,2,1,2,1,1,7,2,30,1,2,3,1,4,1,2,1918,2180,0,39,25870,343,0,0,12
13,858,39-2800,2012,2.0,1,212.0,1,21,5,1,0,0,3,1,1,2,1,1,7,2,19,1,1,1,1,3,1,1,0,3290,0,13,1620,501,0,0,666281
14,405,39-2700,2012,29.0,1,38.0,1,21,1,1,0,0,3,2,2,1,1,1,8,1,19,1,1,3,3,5,2,2,5440,0,0,1,0,456,1400,1469,1066926
15,650,39-100,2012,114.0,1,4.0,1,21,5,1,0,2,3,2,1,2,1,1,7,1,10,2,1,1,3,5,3,3,8517,24770,0,-9,9590,221,803,1335,663743
16,868,17-1701,2012,2.0,1,44.0,1,22,6,1,0,0,3,1,1,2,1,1,7,2,28,1,1,1,1,3,1,1,0,90,0,32,2120,122,0,0,571233
17,363,17-1205,2012,80.0,1,13.0,1,21,5,1,0,0,3,2,2,1,1,1,8,1,10,1,1,4,3,5,2,3,7786,3230,0,-27,10320,126,0,1335,917475
18,895,17-900,2012,23.0,1,72.0,1,21,5,1,0,0,3,2,1,1,1,1,6,2,30,1,1,1,1,4,1,1,0,0,0,0,4550,98,101,0,12
19,885,17-2601,2012,123.0,1,371.0,1,21,5,1,0,0,3,2,1,2,1,1,6,1,10,1,1,3,3,4,3,3,8857,14950,0,1,11150,481,1827,1125,743400
20,999,39-5401,2012,2.0,1,96.0,1,21,6,1,0,0,3,1,1,1,1,1,5,3,27,1,1,1,1,2,3,1,0,2830,0,-8,3770,135,76,0,882211
21,359,17-1204,2012,12.0,1,1.0,1,21,6,1,0,0,3,2,2,1,1,1,6,1,10,2,2,4,3,4,2,2,247,25540,0,-8,20700,501,321,651,44181
22,553,17-2801,2012,2.0,1,52.0,1,21,5,1,0,0,3,2,2,1,1,1,6,2,19,1,1,1,1,5,2,1,0,3340,0,46,1500,483,109,0,726342
23,579,17-1205,2012,47.0,1,216.0,1,21,5,1,0,0,3,2,2,2,1,1,7,1,10,2,3,3,3,4,1,2,15357,10230,0,-6,18520,497,2068,952,346335
