,sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,1,27,40,76,4.11,1.97
1,1,57,58,83,3.11,2.94
2,1,40,69,90,4.08,3.09
3,1,35,42,80,3.14,1.93
4,2,48,59,100,3.49,1.16
5,1,59,68,107,3.83,3.41
6,2,44,71,83,3.96,2.14
7,1,55,62,92,3.41,2.28
8,1,41,44,78,3.16,2.09
9,2,30,40,53,3.51,0.56
10,1,48,53,113,4.08,2.6
11,1,57,52,97,3.83,4.0
12,2,42,43,101,3.33,3.29
13,1,44,67,88,3.64,3.26
14,2,48,56,104,2.83,2.62
15,1,44,49,104,3.81,3.96
16,2,55,63,129,2.82,1.28
17,1,50,47,95,4.04,2.54
18,1,49,56,113,3.97,1.3
19,1,58,53,113,3.18,2.1
20,1,39,55,97,3.58,2.55
21,1,30,56,103,2.5,1.26
22,1,56,58,126,2.59,2.5
23,1,53,51,70,2.85,1.47
24,1,50,57,86,3.73,2.27
25,1,46,56,59,3.53,2.57
26,1,54,54,109,3.84,2.6
27,1,47,49,93,2.77,2.89
28,1,45,58,84,3.36,0.6
29,2,56,72,83,2.44,2.88
30,1,66,67,132,2.65,2.54
31,1,51,73,129,3.14,3.18
32,1,48,51,120,3.01,3.51
33,1,53,41,115,3.52,3.63
34,1,49,55,93,2.69,2.05
35,1,54,63,105,2.73,2.73
36,1,63,70,124,3.95,2.71
37,1,61,60,93,2.96,2.91
38,1,54,58,91,3.02,3.73
39,1,58,62,111,4.03,3.26
40,1,46,62,105,3.64,2.15
41,1,41,58,98,4.04,2.72
42,1,42,64,90,3.79,1.88
43,2,57,44,89,3.58,1.95
44,1,51,62,118,3.27,2.19
45,1,57,56,121,3.86,3.74
46,1,52,53,124,3.52,3.29
47,1,36,53,96,3.98,3.12
48,1,69,69,95,3.92,3.03
49,1,53,54,91,1.86,3.53
50,1,50,44,110,4.01,2.96
51,1,40,50,94,2.9,2.51
52,1,57,62,99,3.88,2.93
53,2,46,67,118,4.01,3.74
54,1,61,59,85,3.79,1.95
55,1,58,60,100,3.1,1.16
56,2,44,53,100,3.83,1.72
57,1,46,52,92,2.59,2.03
58,2,39,49,87,3.12,3.04
59,1,70,49,113,3.68,3.42
60,2,45,58,71,3.44,1.9
61,2,54,49,120,3.15,2.84
62,2,45,57,107,2.32,3.11
63,1,47,58,121,3.25,2.24
64,1,55,70,94,2.85,1.5
65,1,49,59,104,3.95,2.11
66,1,64,62,98,3.77,3.21
67,2,72,51,102,3.13,3.31
68,1,45,59,92,3.65,3.41
69,2,61,54,141,2.81,3.44
70,2,58,55,92,2.86,0.94
71,1,64,58,77,2.73,1.56
72,1,48,72,114,3.1,2.47
73,1,47,54,83,2.87,3.23
74,2,59,45,73,3.25,1.22
75,1,63,56,102,3.93,3.23
76,1,57,57,113,2.85,2.42
77,1,48,73,111,4.02,3.54
78,1,57,52,84,2.75,3.16
79,1,64,60,109,3.13,3.07
80,1,49,50,83,3.13,3.53
81,1,49,59,88,2.99,1.61
82,1,69,48,134,2.83,2.41
83,1,58,59,96,2.49,1.66
84,2,41,58,92,3.76,2.38
85,2,37,48,96,3.71,1.39
86,1,34,49,81,3.35,1.1
87,1,56,50,111,2.55,3.49
88,1,50,47,90,3.03,2.07
89,1,57,51,83,3.02,2.6
90,1,33,51,95,3.61,0.79
91,1,53,62,105,3.06,3.02
92,1,49,60,126,2.89,2.7
93,1,40,71,104,3.72,3.37
94,1,44,63,100,4.1,3.21
95,1,59,62,141,3.87,2.75
96,1,35,39,73,2.82,1.2
97,1,59,71,115,3.99,2.36
