	sex	sat_v	sat_m	sat_sum	hs_gpa	fy_gpa
0	1	62	61	123	3.53	2.54
1	1	62	61	88	3.99	3.01
2	2	45	61	109	3.03	2.37
3	2	59	60	118	3.57	1.66
4	1	40	56	129	3.68	2.62
5	1	49	62	134	3.44	4.0
6	2	50	53	124	4.15	2.32
7	1	56	51	89	3.93	0.45
8	1	53	51	92	2.45	2.34
9	1	42	48	113	3.45	1.87
10	1	57	52	97	3.79	2.71
11	2	62	60	108	3.63	3.0
12	2	55	60	107	3.22	2.25
13	1	47	55	93	2.44	1.98
14	2	45	63	126	3.78	2.6
15	1	54	50	97	3.85	1.77
16	1	38	43	100	3.61	3.15
17	2	41	41	102	2.62	2.18
18	2	52	55	100	2.42	1.68
19	2	52	52	116	2.26	1.3
20	1	48	63	136	3.86	2.59
21	2	48	47	104	3.35	1.67
22	1	42	49	95	2.76	1.72
23	1	60	64	120	3.81	2.82
24	1	48	63	98	2.51	2.11
25	1	65	64	114	3.13	3.61
26	1	52	50	106	4.05	3.39
27	1	38	42	106	3.16	2.52
28	2	52	51	100	3.26	1.71
29	2	40	56	104	3.86	3.88
30	2	46	44	93	3.5	3.47
31	2	46	45	93	3.72	3.22
32	1	64	72	143	3.95	2.7
33	1	62	65	134	3.85	2.74
34	1	56	75	105	4.15	3.34
35	2	37	48	85	3.85	1.77
36	1	44	47	99	3.27	1.28
37	1	48	50	123	3.4	3.15
38	2	35	46	74	3.14	1.14
39	2	49	37	89	2.78	2.52
40	1	46	57	91	3.13	1.42
41	1	51	47	132	3.2	3.22
42	2	40	38	82	3.46	0.48
43	1	58	49	97	2.81	1.9
44	1	45	48	86	3.19	1.12
45	2	54	48	108	3.27	3.98
46	1	66	51	105	3.42	2.86
47	2	53	39	100	2.92	1.27
48	2	42	44	115	3.29	3.05
49	1	59	51	118	3.7	3.54
50	1	60	66	105	3.59	0.96
51	2	52	65	132	3.46	3.43
52	2	38	50	95	3.04	1.56
53	1	56	57	95	3.16	0.71
54	1	53	71	114	3.9	2.31
55	1	60	65	120	4.15	2.45
56	1	50	47	113	2.54	3.03
57	1	43	55	124	3.3	2.33
58	1	41	59	117	3.12	2.81
59	1	59	48	112	3.47	2.73
60	2	47	58	111	4.13	3.4
61	2	44	52	81	3.36	1.58
62	1	42	58	87	2.99	2.16
63	1	51	51	111	3.9	2.76
64	1	44	38	125	3.52	1.64
65	2	56	59	116	3.43	3.07
66	1	52	53	110	3.93	3.11
67	1	51	54	98	2.9	2.88
68	1	50	56	113	2.77	1.34
69	2	42	51	122	3.25	2.31
70	1	46	64	140	3.55	4.0
71	1	64	40	133	3.93	3.19
72	2	62	59	128	4.12	3.2
73	1	61	57	127	2.75	1.8
74	2	38	53	85	3.61	3.78
75	1	51	51	120	3.68	1.82
76	2	52	33	111	3.12	2.49
77	2	56	51	107	3.53	1.6
78	1	51	68	144	4.05	1.54
79	1	66	55	143	2.94	2.58
80	1	53	43	114	3.32	1.88
81	1	56	65	131	3.96	2.92
82	2	61	36	89	2.07	1.09
83	2	49	47	130	2.23	2.84
84	2	64	44	143	3.68	2.32
85	2	55	43	125	2.23	2.27
86	1	35	49	84	2.95	2.25
87	2	36	57	73	2.72	2.25
88	1	62	63	114	4.09	4.0
89	1	58	62	117	3.05	2.19
90	2	48	66	105	3.79	3.92
91	2	52	50	103	2.91	1.67
92	1	50	46	100	3.92	2.4
93	1	47	47	79	2.71	0.34
94	2	72	57	120	3.4	0.64
95	1	59	59	144	3.62	3.87
96	1	47	56	98	2.48	2.06
97	1	64	52	98	2.43	2.23
98	1	50	45	115	3.98	2.04
99	2	54	53	101	3.75	2.83
100	1	51	35	105	3.16	3.43
101	2	55	51	131	2.79	2.28
102	1	41	42	101	2.27	1.19
103	2	46	29	74	3.78	1.57
104	1	60	71	130	3.37	2.52
105	1	66	58	89	3.7	3.62
106	1	53	58	122	2.67	3.43
107	1	59	50	115	3.66	2.4
108	2	39	46	95	2.68	3.14
109	1	61	70	131	3.66	3.48
110	1	51	54	109	3.18	2.17
111	1	53	61	95	2.71	1.56
112	1	64	57	124	3.62	1.07
113	1	48	65	117	3.41	2.77
114	1	56	59	107	3.14	2.6
115	1	62	50	107	3.82	0.5
116	1	39	57	110	2.17	2.57
117	2	47	51	85	3.21	1.53
118	1	55	54	100	3.54	3.69
119	2	46	56	96	3.11	1.43
120	1	48	56	120	2.44	0.73
121	1	67	67	144	4.02	3.5
122	1	51	46	118	3.03	1.05
123	1	55	60	91	3.3	2.53
124	2	39	53	80	3.33	2.12
125	1	47	66	142	4.04	4.0
126	1	52	56	111	3.75	2.94
127	2	58	50	105	2.79	1.71
128	1	61	55	130	4.1	2.77
129	1	49	54	113	3.73	2.83
130	2	65	55	107	3.96	3.63
131	1	39	49	99	2.54	1.83
132	1	51	62	134	3.02	2.75
133	1	58	76	143	2.68	2.15
134	1	52	57	108	3.15	2.84
135	2	38	48	73	2.49	1.03
136	1	60	48	99	2.41	0.25
137	1	40	42	84	2.87	2.23
138	2	48	54	102	2.82	2.47
139	2	54	66	104	3.61	1.71
140	2	60	55	131	3.75	1.98
141	1	50	57	105	3.11	0.55
142	1	44	54	95	3.51	2.37
143	2	50	49	107	3.19	0.8
144	2	64	46	104	3.68	2.35
145	1	55	44	116	2.52	1.44
146	1	51	57	101	3.75	0.76
147	2	37	48	93	3.88	2.66
148	2	36	38	82	2.75	0.2
149	1	59	65	133	3.8	3.6
150	2	30	41	74	2.78	1.71
151	1	62	62	133	3.48	2.59
152	1	53	53	119	3.6	3.31
153	1	58	56	98	3.64	3.54
154	1	63	56	105	3.64	3.2
155	1	56	53	110	3.09	0.39
156	1	62	73	122	4.22	4.0
157	1	59	53	122	3.9	1.98
158	1	46	52	96	2.83	2.9
159	1	56	65	103	2.32	2.11
160	1	40	47	106	2.73	0.83
161	2	57	40	96	3.35	1.93
162	2	46	40	83	2.79	1.28
163	2	49	44	94	3.01	1.43
164	2	62	67	130	3.83	4.0
165	1	58	73	110	3.75	4.0
166	1	50	50	101	3.88	1.66
167	1	35	49	107	3.61	2.14
168	2	60	47	99	3.75	2.7
169	2	62	77	144	4.19	4.0
170	2	49	53	100	4.21	3.26
171	2	49	34	126	3.46	0.67
172	1	58	52	120	3.74	2.14
173	1	64	67	143	3.84	3.97
174	2	35	61	124	3.1	2.48
175	2	63	53	91	2.36	2.18
176	1	60	59	124	3.84	3.36
177	2	48	59	112	3.23	2.76
178	1	53	52	118	3.43	2.49
179	1	57	48	84	3.73	2.34
180	1	44	49	89	2.6	1.68
181	1	49	55	102	3.83	2.24
182	1	72	56	131	3.06	4.0
183	1	53	60	135	3.92	3.44
184	1	41	50	108	2.28	2.61
185	1	66	55	111	3.91	3.98
186	1	41	39	94	3.59	1.79
187	1	47	62	135	3.22	2.42
188	1	53	57	98	3.99	1.46
189	2	59	58	122	3.27	2.1
190	1	56	66	135	3.85	4.0
191	1	47	51	91	2.42	2.54
192	1	53	53	130	1.8	1.98
193	1	45	37	111	2.76	1.25
194	1	45	64	98	3.8	1.67
195	2	47	52	106	3.81	2.39
196	1	42	52	78	3.59	2.84
197	1	48	43	133	3.62	2.2
198	2	39	42	97	1.88	2.15
199	1	61	56	104	2.61	1.2
200	2	54	49	95	3.59	1.67
201	2	45	44	94	3.14	0.52
