,sex,sat_v,sat_m,hs_gpa,fy_gpa
0,2,42,60,2.98,2.42
1,2,33,53,4.12,2.5
2,1,43,48,2.37,0.73
3,1,51,64,3.15,2.87
4,2,41,52,3.53,2.18
5,2,42,49,3.8,2.65
6,2,43,66,3.78,3.19
7,2,40,51,2.71,2.31
8,2,41,36,3.11,2.82
9,1,44,62,3.58,2.0
10,1,58,49,2.48,2.21
11,1,45,61,2.48,1.11
12,2,36,54,2.23,0.65
13,2,41,50,3.54,1.81
14,2,67,65,3.7,3.2
15,1,49,57,3.4,1.52
16,2,41,52,3.85,1.79
17,2,35,55,4.02,3.17
18,2,45,48,2.12,1.4
19,1,41,55,2.37,1.95
20,2,52,40,2.82,1.46
21,2,46,40,2.9,2.95
22,2,42,51,3.97,2.62
23,1,42,56,2.83,2.14
24,1,49,54,2.47,1.16
25,2,57,41,3.03,2.16
26,1,57,62,2.35,2.03
27,2,38,50,2.94,1.68
28,2,51,50,3.2,1.77
29,2,58,54,3.16,3.08
30,2,49,61,2.16,1.33
31,2,48,47,2.3,1.09
32,2,60,45,4.01,3.61
33,1,50,51,3.13,3.43
34,2,41,43,3.35,3.15
35,2,53,59,3.98,3.78
36,1,51,62,2.28,2.51
37,2,49,54,2.62,2.68
38,2,40,61,2.56,2.27
39,2,42,55,2.1,1.33
40,1,71,65,3.94,3.74
41,2,52,52,2.78,2.4
42,2,45,47,3.14,2.32
43,2,61,55,3.62,3.68
44,2,39,50,2.81,2.27
45,2,38,44,2.17,1.83
46,1,54,45,3.31,2.84
47,2,35,50,3.38,2.42
48,1,52,54,3.18,2.14
49,2,41,54,3.9,2.55
50,2,39,64,4.06,2.97
51,2,36,40,2.69,1.53
52,1,57,60,4.23,3.23
53,2,55,58,3.79,2.72
54,2,50,52,2.73,1.99
55,1,51,60,3.97,3.66
56,2,41,56,3.46,0.65
57,2,38,58,3.62,1.83
58,2,53,48,3.02,2.14
59,1,40,48,3.9,3.36
60,1,55,59,3.78,2.99
61,2,46,45,3.17,3.01
62,2,47,41,2.03,1.81
63,1,58,64,3.28,4.0
64,2,57,63,4.08,3.8
65,2,38,48,3.71,0.68
66,2,51,52,3.99,3.61
67,2,61,64,2.45,3.86
68,1,54,60,3.7,1.59
69,2,42,53,2.45,1.48
70,1,55,52,2.84,1.16
71,1,38,57,3.49,2.01
72,2,41,49,2.59,2.89
73,1,50,53,3.47,2.25
74,1,49,58,3.79,2.84
75,2,39,47,2.65,2.39
76,1,38,48,2.53,1.17
77,2,50,57,2.32,2.67
78,2,47,48,3.92,2.13
79,2,36,69,3.46,1.73
80,2,44,63,3.75,3.03
81,2,48,56,3.56,2.64
82,1,58,61,3.73,2.3
83,2,39,56,2.81,1.95
84,2,42,41,4.07,3.98
