"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"2",54,59,4,3.04,"49-76"
"1",41,58,2.7,1.73,"49-76"
"2",38,62,3.75,1.82,"49-76"
"1",59,53,3,2.38,"24-43"
"1",67,77,3.5,3.17,"49-76"
"1",43,65,3.5,3.36,"49-76"
"2",46,47,3.4,2.42,"49-76"
"2",41,44,2.2,1.54,"49-76"
"2",38,44,2.1,1.14,"49-76"
"2",50,53,3.04,2.88,"24-43"
"2",53,39,3.6,2.4,"49-76"
"2",49,50,2.9,1.95,"43-49"
"2",48,51,3.1,3.75,"43-49"
"1",48,63,3.5,2.63,"49-76"
"1",50,61,3,1.62,"49-76"
"1",47,57,3,2.43,"49-76"
"2",39,40,2.75,1.49,"43-49"
"1",32,50,2.5,2.38,"49-76"
"2",66,56,3.2,3.59,"49-76"
"1",49,58,3.1,2.81,"43-49"
"1",53,50,3.25,3.79,"49-76"
"2",67,67,3.1,2.97,"24-43"
"1",67,64,3.75,2.42,"49-76"
"2",41,45,2.7,2.29,"49-76"
"1",46,40,2.67,1.83,"43-49"
"1",38,52,2,1.61,"43-49"
"2",54,58,3.5,3.8,"49-76"
"2",45,50,3.8,2.81,"43-49"
"2",44,38,2.1,1.57,"43-49"
"1",45,38,2.5,0.9,"24-43"
"2",45,41,3.2,2.31,"49-76"
"2",57,43,3.9,2.2,"49-76"
"2",43,55,3.75,3.17,"24-43"
"1",50,66,3.5,3.37,"49-76"
"1",61,60,3.6,3,"49-76"
"2",51,52,2.6,2.16,"43-49"
"1",52,55,2.4,1.54,"49-76"
"2",41,33,3.5,1.43,"43-49"
"2",45,43,3.4,3.04,"24-43"
"1",45,41,2.75,2.3,"49-76"
"2",35,52,2,1.6,"24-43"
"1",57,66,3.5,2.92,"49-76"
"1",58,66,3.3,2.39,"49-76"
"2",40,54,3,2.16,"24-43"
"2",45,45,3,1.24,"49-76"
"2",54,53,3.5,2.66,"24-43"
"2",42,58,3.7,2.65,"24-43"
"2",50,50,3.7,3.51,"24-43"
"2",60,57,4,3.34,"49-76"
"2",44,51,3.75,3.47,"49-76"
"2",44,52,3.7,2.02,"49-76"
"2",42,55,3.7,2.85,"49-76"
"1",54,64,2.75,2.11,"43-49"
"1",49,52,2.5,1.43,"49-76"
"2",50,62,4,3.67,"49-76"
"1",45,58,3,2.91,"49-76"
"1",39,45,2.4,1.7,"49-76"
"1",48,61,3,1.7,"49-76"
"1",46,60,3,2.91,"49-76"
"1",54,46,3,1.36,"43-49"
"2",57,64,3.7,2.69,"43-49"
"2",70,64,3.7,3.77,"24-43"
"1",43,53,3.8,2.24,"49-76"
"1",56,64,3,3.46,"43-49"
"1",54,64,3.75,3.18,"49-76"
"2",54,57,3.5,3.48,"43-49"
"2",41,41,2.6,1.77,"43-49"
"1",42,64,3,2.53,"49-76"
"2",47,58,4,2.73,"43-49"
"2",46,58,3.6,2.4,"49-76"
"1",42,47,4,3.26,"24-43"
"2",45,52,3.5,3.67,"49-76"
"2",35,32,2.5,1.29,"49-76"
"1",63,57,3.3,2.45,"43-49"
"1",44,48,3.7,2.42,"49-76"
"1",33,35,2.3,0.52,"24-43"
"2",50,42,3.8,2.33,"24-43"
"2",64,61,3.75,3.64,"49-76"
"1",54,62,4,2.81,"49-76"
"1",43,55,3.6,2.72,"49-76"
"1",44,53,3.7,2.65,"43-49"
"1",44,58,2.4,1.29,"49-76"
"2",43,41,2.7,1.6,"49-76"
"1",49,57,4,3.69,"24-43"
"1",57,67,3.25,2.92,"49-76"
"1",41,58,2.6,2.44,"24-43"
"1",57,61,3.5,2.19,"49-76"
"1",52,65,3.1,3.24,"43-49"
"1",67,68,4,3.69,"49-76"
"2",50,57,3.4,2.07,"49-76"
"1",49,57,3,1.12,"24-43"
"2",49,56,3.8,2.98,"43-49"
"2",53,44,2.8,1.72,"24-43"
"1",39,60,3.4,2.33,"49-76"
"1",54,62,2.75,2.86,"49-76"
"1",43,53,3,1.55,"49-76"
"2",31,37,2.7,1.64,"49-76"
"1",41,45,2.7,1.54,"49-76"
"2",55,54,3,1.6,"43-49"
"1",43,49,2.4,1.96,"49-76"
"1",42,40,3,2.24,"43-49"
"1",51,53,3.7,2.78,"49-76"
"1",42,46,2.8,1.43,"49-76"
"2",42,48,2.7,2.38,"24-43"
"2",39,35,2.9,2.09,"49-76"
"1",64,69,3.25,2.56,"49-76"
"1",46,53,2.75,2.1,"49-76"
"1",65,77,4,3.17,"49-76"
"1",44,46,2.9,1.13,"43-49"
"1",43,53,2.8,2.86,"49-76"
"2",44,42,3,1.14,"43-49"
"2",37,51,3,2.7,"49-76"
"2",36,50,2.3,0.87,"43-49"
"2",40,47,3.25,2.4,"43-49"
"2",46,59,3.8,2.56,"49-76"
"2",49,50,3.7,2.31,"49-76"
"2",40,43,3.2,1.98,"49-76"
"2",59,55,3.75,2.23,"43-49"
"1",45,57,3.5,2.2,"49-76"
"1",43,55,3,3.24,"49-76"
"1",61,61,3.7,2.96,"49-76"
"1",50,60,2.1,1.55,"43-49"
"1",42,51,2.5,1.28,"49-76"
"1",54,67,4,2.85,"49-76"
"1",44,57,2.5,2.59,"49-76"
"2",41,35,2.9,1.81,"43-49"
"2",54,52,2.8,1.16,"49-76"
"2",49,52,3.5,2.31,"49-76"
"1",45,60,2.2,1.24,"49-76"
"2",55,61,4,3.4,"24-43"
"2",45,40,2.5,1.77,"49-76"
"1",39,38,3.25,2.45,"49-76"
"1",35,59,3.2,2.96,"24-43"
"1",50,73,3.5,2.65,"49-76"
"1",41,47,3.1,1.98,"49-76"
"2",55,65,3.3,3.11,"49-76"
"2",53,55,3.7,3.67,"49-76"
"2",46,46,2,0.77,"24-43"
"1",45,52,3.5,2.02,"49-76"
"1",38,43,3.1,1.8,"49-76"
"1",44,55,2.8,2.29,"49-76"
"1",55,56,2.7,2.89,"43-49"
"1",39,53,3.2,1.95,"49-76"
"1",49,66,3.8,3.6,"49-76"
"1",44,45,2.5,2.31,"49-76"
"1",52,63,2.4,2.16,"49-76"
"1",43,54,2.2,2.63,"49-76"
"2",46,49,2.9,2.49,"49-76"
"1",43,54,2.8,1,"43-49"
"1",35,51,2.3,2.29,"24-43"
"2",48,54,3,3.06,"43-49"
"1",66,66,4,3.5,"43-49"
"1",54,68,3,3.4,"24-43"
"1",62,49,3.5,2.54,"49-76"
"1",53,74,3.7,2.72,"49-76"
"2",50,72,4,2.29,"24-43"
"1",47,66,2.5,1.71,"49-76"
"1",56,59,3,2.29,"43-49"
"1",50,53,2.9,2.37,"24-43"
"1",67,74,3.8,3.76,"49-76"
"1",46,57,3.75,2.58,"49-76"
"2",44,49,2.75,3.24,"24-43"
"2",40,47,4,3.24,"43-49"
"1",42,54,3,2.75,"49-76"
"1",64,64,3.9,3.34,"49-76"
"1",45,41,2.3,1.58,"49-76"
"1",45,59,3.2,3.19,"49-76"
"1",43,50,3,1.7,"24-43"
"1",35,55,3,2.94,"49-76"
"1",55,54,3.5,3.13,"49-76"
"2",37,57,3.4,1.54,"24-43"
"1",53,53,2.7,2.3,"49-76"
"1",63,61,4,3.33,"49-76"
"1",63,67,3.5,3.02,"49-76"
"2",34,49,3.5,2.96,"24-43"
"1",56,59,3,3.6,"49-76"
"1",47,53,2.7,1.82,"49-76"
"1",49,66,3.5,3.37,"43-49"
"2",53,42,2.7,1.63,"24-43"
"1",53,54,3,2.47,"49-76"
"2",53,59,2.8,2.51,"49-76"
"2",37,49,2.7,2.24,"24-43"
"1",45,66,3.7,3.52,"49-76"
"2",49,45,4,2.59,"24-43"
"1",37,52,3.3,2.53,"24-43"
"1",41,65,2.75,1.73,"49-76"
"2",53,47,3.25,2.07,"49-76"
"1",67,72,4,4,"49-76"
"1",44,51,3.3,3.18,"49-76"
"1",43,49,2,1.64,"49-76"
"2",43,46,3.3,2.71,"43-49"
"1",53,59,2.5,1.12,"49-76"
"1",39,55,3.5,2.94,"49-76"
"2",45,42,2.7,1.83,"24-43"
"2",45,50,3.5,2.71,"49-76"
"2",58,58,3.8,2.94,"49-76"
"2",38,46,2.5,0.85,"43-49"
"2",50,53,3.3,2.67,"24-43"
"2",40,45,2.6,2.66,"24-43"
"1",34,57,3,1.14,"43-49"
"1",50,63,2.4,1.13,"49-76"
"2",52,64,3.5,3.64,"24-43"
"1",53,66,3.8,2.38,"24-43"
"2",45,42,3,1.5,"49-76"
"1",62,57,4,3,"49-76"
"2",42,46,3.1,2.95,"49-76"
"2",46,45,2.5,2.81,"24-43"
"2",57,57,3.25,3,"24-43"
"2",54,40,3,1.54,"49-76"
"2",56,60,2.5,2.54,"49-76"
"1",49,69,2.75,2.8,"49-76"
"2",37,61,3.2,3.22,"49-76"
"1",43,68,3.25,2.91,"49-76"
"2",44,50,3,1.92,"49-76"
"1",42,49,2.7,1.68,"24-43"
"1",57,57,3.2,2.07,"49-76"
"2",48,58,3.75,2.65,"43-49"
"2",49,55,3.7,2.35,"49-76"
"1",56,59,2.8,2.67,"49-76"
"2",48,49,2.7,1.94,"43-49"
"1",47,71,4,3.98,"49-76"
"1",48,60,3.8,2.97,"43-49"
"2",50,50,3.75,3.35,"49-76"
"1",38,54,3.5,2.13,"49-76"
"1",45,60,3.6,3.82,"49-76"
"2",42,45,2.5,2.65,"49-76"
"2",64,53,3.8,3.63,"49-76"
"2",49,44,2.7,3.38,"43-49"
"1",54,54,3,2.38,"24-43"
"1",43,57,3.3,3.35,"24-43"
"1",41,54,2.8,2.42,"49-76"
"2",41,48,2.75,1.96,"49-76"
"2",49,42,3,2.68,"49-76"
"1",51,68,3.5,2.8,"43-49"
"2",55,54,3.2,1.8,"24-43"
"1",45,37,3.3,1.64,"24-43"
"2",52,35,2.5,2.71,"49-76"
"2",42,60,4,3.33,"49-76"
"2",46,50,3,2.19,"43-49"
"2",63,61,4,2.57,"49-76"
"2",57,60,3.5,2.54,"49-76"
"2",39,56,3.3,3.57,"43-49"
"1",40,50,2.8,1.49,"49-76"
"1",59,62,3,1.14,"49-76"
"2",44,60,3.7,2.84,"24-43"
"1",44,58,2.7,2.08,"24-43"
"1",52,59,3.3,3.27,"43-49"
"1",41,50,2.4,1.64,"49-76"
"2",68,57,4,3.46,"49-76"
"1",55,61,3.25,2.55,"49-76"
"1",52,57,3.75,2.27,"49-76"
"1",37,53,2.8,3.12,"43-49"
"1",32,49,3,1.74,"49-76"
"1",45,63,3.75,2.13,"43-49"
"2",43,56,3.3,1.7,"43-49"
"1",40,55,3.3,2.9,"24-43"
"1",47,56,2.7,2.69,"49-76"
"2",36,47,2.7,1.78,"49-76"
"2",41,43,3.4,1.24,"43-49"
"1",36,52,3.1,2.74,"24-43"
"2",50,50,3.5,2.42,"49-76"
"1",55,68,2.9,2.29,"49-76"
"2",50,49,3.2,2.42,"43-49"
"1",40,61,2.9,2.19,"43-49"
"1",55,64,2.9,3.06,"24-43"
"2",41,53,3.6,2.23,"49-76"
"2",52,56,4,2.24,"49-76"
"1",44,58,2.9,2.8,"24-43"
"1",43,48,2,1.83,"24-43"
"1",69,62,4,2.47,"49-76"
"1",55,59,2.7,3.43,"24-43"
"2",51,62,3.5,3.16,"49-76"
"1",50,52,3.1,2.03,"49-76"
"2",52,60,3.3,3.79,"49-76"
"1",51,55,2.4,2.4,"24-43"
"1",44,60,3,2.11,"24-43"
"1",53,61,4,3.11,"24-43"
"2",31,58,3.75,2.77,"49-76"
"2",35,55,2.7,1.8,"49-76"
"2",46,45,3.2,2.28,"24-43"
"1",47,67,3,2.55,"43-49"
"1",49,58,4,2.67,"49-76"
"1",48,39,2.8,1.13,"43-49"
"1",64,64,3.5,2.96,"43-49"
"2",58,56,4,3.49,"49-76"
"2",52,56,4,2.73,"49-76"
"1",48,51,2.5,2.17,"49-76"
"2",44,56,3.75,2.54,"49-76"
"1",46,61,3,2.23,"43-49"
"2",39,54,3.7,3.12,"43-49"
"1",47,46,3.5,3.23,"43-49"
"1",48,58,3.3,2.83,"49-76"
"2",48,58,3.5,2.54,"49-76"
"2",43,50,3.5,3.81,"49-76"
"1",36,51,2.5,1.12,"24-43"
"1",39,33,2.1,1.13,"49-76"
"2",39,35,4,2.91,"43-49"
"1",45,42,2.4,0.57,"49-76"
"1",62,67,3.8,3.04,"49-76"
"1",58,49,3.2,3.22,"43-49"
"1",59,72,3.5,2.6,"49-76"
"2",59,64,3,2.48,"49-76"
"2",48,50,3,2.14,"49-76"
"2",52,51,3,3.23,"49-76"
"2",43,57,3.25,2.14,"43-49"
"2",53,56,4,2.8,"24-43"
"2",45,53,3,1.82,"43-49"
"1",54,61,3.8,3.35,"49-76"
"1",42,61,3.5,1.55,"43-49"
"1",59,55,3.3,1.91,"49-76"
"2",52,52,3.5,3,"43-49"
"1",49,58,3.5,2.82,"24-43"
"2",41,47,3.9,3.41,"24-43"
"1",39,51,2,0.8,"43-49"
"1",47,59,3.5,3.19,"24-43"
"2",33,52,2.9,2.24,"49-76"
"2",45,55,3.5,3.02,"43-49"
"1",49,61,3,2.93,"49-76"
"2",52,56,3.25,1.56,"49-76"
"1",47,53,3,2.33,"43-49"
"1",56,68,3.3,2.69,"49-76"
"2",53,57,4,3.33,"24-43"
"1",45,57,3,2.33,"24-43"
"1",55,53,3.5,2.75,"49-76"
"2",48,48,3.2,3,"49-76"
"1",50,63,3.5,3.45,"24-43"
"1",66,63,3.4,2.91,"43-49"
"1",46,66,3.5,2.8,"49-76"
"1",49,55,2.8,1.62,"43-49"
"1",56,73,4,2.98,"24-43"
"2",53,52,2.5,2.71,"43-49"
"2",59,64,4,2.2,"24-43"
"2",33,38,2.1,1.45,"49-76"
"2",47,60,3.3,3.1,"43-49"
"2",59,65,3.8,3.4,"24-43"
"1",50,60,3,2.37,"24-43"
"2",39,37,4,2.46,"49-76"
"1",62,59,3.25,3.07,"49-76"
"1",58,72,3.2,3.15,"49-76"
"1",37,45,2.8,1.74,"43-49"
"1",44,48,2.8,1.9,"49-76"
"1",41,57,2.6,0.66,"49-76"
"2",47,51,4,2.91,"24-43"
"1",50,54,2.8,2.17,"43-49"
"1",57,64,4,3.24,"49-76"
"2",47,58,3,2.55,"43-49"
"1",50,53,3.2,2.13,"49-76"
"1",43,55,3.7,2.37,"49-76"
"2",48,49,2.8,2.52,"49-76"
"2",49,57,3,3.69,"49-76"
"1",58,64,2.6,2.31,"49-76"
"2",39,59,3,2.32,"49-76"
"1",58,62,3.25,3.76,"43-49"
"1",52,60,3.1,1.95,"49-76"
"1",54,68,2.5,1.13,"24-43"
"1",46,63,3.5,2.26,"24-43"
"2",60,59,3.2,3.63,"49-76"
"1",53,43,3.1,2.93,"49-76"
"1",36,57,3,2.4,"49-76"
"2",41,58,3.3,2.91,"24-43"
"1",52,40,2.5,2.24,"43-49"
"2",61,71,4,3.59,"43-49"
"1",54,52,3.25,2.02,"49-76"
"1",60,67,3.5,3.1,"24-43"
"1",54,51,3.6,3.15,"43-49"
"2",36,41,2.5,2.34,"43-49"
"2",52,66,3.5,2.42,"49-76"
"2",54,50,2.9,2.13,"24-43"
"2",42,41,2.7,1.95,"49-76"
"1",56,45,2.5,2.28,"49-76"
"1",65,67,3.8,3.44,"43-49"
"1",51,60,3,1.91,"43-49"
"2",46,62,4,3.12,"24-43"
"1",45,50,2,1.51,"24-43"
"1",54,46,3,1.83,"43-49"
"1",46,50,3.1,2.16,"49-76"
"2",65,72,4,2.06,"49-76"
"2",45,33,2.5,1.08,"24-43"
"1",55,65,4,2.86,"49-76"
"1",50,59,2.1,2.54,"49-76"
"1",32,43,2.3,2.67,"24-43"
"1",49,55,3.5,2.03,"49-76"
"2",32,45,2.6,2.2,"49-76"
"2",46,56,3.8,3.09,"43-49"
"1",58,55,2.8,3.06,"49-76"
"2",56,50,2.5,3.19,"49-76"
"1",52,62,3.3,2.24,"43-49"
"2",53,62,4,3.38,"49-76"
"1",38,50,3.3,1.88,"49-76"
"1",41,46,4,3.24,"49-76"
"2",49,45,2.4,1.83,"49-76"
"2",46,61,3.33,3.27,"43-49"
"1",56,57,3.7,2.67,"24-43"
"1",52,51,3.7,2.02,"43-49"
"2",49,38,3.8,3.05,"43-49"
"1",52,64,4,2.24,"49-76"
"2",45,63,3.2,1.88,"43-49"
"1",33,34,3.3,2.65,"43-49"
"2",35,32,2,1.16,"24-43"
"1",42,45,3,1.95,"43-49"
"2",64,43,3.5,2.47,"49-76"
"1",49,57,3,1.87,"49-76"
"1",52,55,3,2.43,"43-49"
"2",46,53,3.75,2.67,"24-43"
"2",49,43,2.56,2.47,"24-43"
"1",34,48,2.3,1.44,"43-49"
"1",41,54,3,1.7,"49-76"
"2",49,37,2.8,1.16,"43-49"
"1",53,57,4,3.13,"49-76"
"2",47,52,3.25,2.49,"49-76"
"1",42,67,3.8,2.56,"43-49"
"2",51,52,3.4,2.56,"49-76"
"2",53,54,3,3.34,"49-76"
"1",39,41,3,2.02,"49-76"
"1",40,41,2.6,1.33,"43-49"
"1",76,77,4,3.25,"24-43"
"1",68,73,4,4,"24-43"
"1",46,47,2.7,1.24,"43-49"
"1",40,44,3.1,2.09,"24-43"
"1",48,55,3.75,2.37,"43-49"
"1",62,61,4,3.63,"49-76"
"2",49,50,3.75,2.49,"49-76"
"2",55,58,4,3.02,"49-76"
"2",41,38,3.25,3.34,"43-49"
"1",64,58,4,2.86,"24-43"
"2",42,47,2.5,1.78,"24-43"
"2",56,33,2.9,2.51,"49-76"
"2",40,44,3.1,2.27,"43-49"
"2",24,44,2.8,2.38,"49-76"
"2",53,64,3,2.51,"43-49"
"1",46,64,3.3,3.24,"43-49"
"1",47,47,3.5,3.3,"43-49"
"1",57,65,2.8,2.9,"24-43"
"2",42,56,4,3.77,"49-76"
"1",43,66,2.7,1.62,"43-49"
"2",45,55,4,3.72,"24-43"
"2",52,51,4,3.63,"49-76"
"2",43,48,2.5,1.8,"49-76"
"2",50,60,3,3.12,"49-76"
"2",34,44,3,1.13,"49-76"
"2",57,54,3.5,3.66,"49-76"
"2",55,55,2.25,1.76,"43-49"
"1",36,32,2.2,0.82,"43-49"
"1",67,61,3.75,2.56,"49-76"
"1",54,59,3,1.74,"49-76"
"2",44,49,3.5,2.12,"43-49"
"2",40,41,3.8,3.48,"49-76"
"2",55,54,3.5,3.43,"49-76"
"2",41,61,4,3.33,"49-76"
"2",46,55,3.9,3.75,"24-43"
"1",44,57,2.5,1.71,"49-76"
"1",45,52,2.8,2.2,"49-76"
"2",57,55,4,3.41,"49-76"
"1",33,57,2.67,1.44,"24-43"
"2",52,55,3.9,3.38,"24-43"
"1",49,52,4,3.4,"24-43"
"2",39,46,3,2.4,"43-49"
"1",43,51,2.3,2.38,"24-43"
"2",48,44,3.2,1.89,"49-76"
"1",46,47,2.6,1.33,"24-43"
"1",53,58,3.5,2.29,"49-76"
"1",55,75,3.5,3.44,"43-49"
"1",56,48,3,2.36,"49-76"
"1",60,62,4,1.89,"43-49"
"2",53,52,4,2.98,"43-49"
"2",47,52,3.3,3.26,"43-49"
"2",52,74,3,3.11,"49-76"
"2",29,40,3.2,1.88,"43-49"
"2",37,52,2.4,2.05,"49-76"
"1",48,57,3,1.69,"24-43"
"1",55,57,3.25,2.14,"24-43"
"1",44,51,2.5,2.28,"24-43"
"2",43,43,2.8,2.53,"24-43"
"1",52,61,4,4,"24-43"
"1",48,45,2.9,2.67,"24-43"
"2",49,58,3.4,2.56,"49-76"
"1",39,56,2.7,2.38,"24-43"
"2",53,53,4,3.71,"24-43"
"2",47,56,3.3,2.56,"43-49"
"2",49,55,3,2.54,"49-76"
"2",57,54,3.5,2.23,"24-43"
"2",69,58,3,3,"43-49"
"2",44,52,3.7,2.51,"49-76"
"2",52,58,3.8,3.22,"49-76"
"2",64,50,4,2.97,"43-49"
"1",38,57,2.8,2.28,"24-43"
"2",54,59,3.25,3.16,"43-49"
"1",52,57,3.25,3,"49-76"
"2",45,53,3.4,2.91,"43-49"
"2",59,42,2.8,1.75,"43-49"
"1",42,42,2.1,1.98,"43-49"
"2",59,73,3.7,3.81,"49-76"
"2",46,47,4,3.17,"49-76"
"1",46,64,3.2,2.68,"43-49"
"2",34,53,3,1.37,"24-43"
"1",26,32,1.8,1.64,"24-43"
"1",69,58,3.75,3.02,"24-43"
"1",39,43,2.4,1,"49-76"
"1",62,67,3.2,3.21,"49-76"
"2",47,60,3.75,3.71,"43-49"
"2",47,51,3,2.8,"49-76"
"2",43,58,3.8,2.91,"24-43"
"1",37,53,2.6,1.37,"43-49"
"2",56,64,3.6,3.14,"49-76"
"2",46,58,3.9,3.64,"24-43"
"1",41,45,3.25,2.18,"24-43"
"1",43,48,2.25,1.03,"49-76"
"2",41,49,3.67,2.6,"24-43"
"1",49,56,3,1.83,"43-49"
"2",61,54,3.5,2.53,"24-43"
"1",36,50,3.1,2.91,"49-76"
"2",50,57,3.75,3.66,"43-49"
"2",43,66,2.4,2.3,"49-76"
"2",61,51,3.7,3.76,"24-43"
