,sex,sat_v,sat_m,hs_gpa,fy_gpa
0,1,47,43,2.47,1.13
1,2,52,49,3.26,2.0
2,1,47,55,3.6,2.56
3,1,38,54,2.89,3.24
4,1,54,54,3.07,1.63
5,2,59,67,4.3,3.41
6,1,48,53,3.63,1.68
7,2,46,52,3.94,3.55
8,1,55,49,2.68,2.67
9,2,50,52,3.83,3.39
10,1,62,70,3.45,3.44
11,1,58,63,4.01,2.93
12,2,53,61,3.58,2.45
13,1,37,60,4.3,2.74
14,1,54,63,2.82,2.56
15,1,48,49,3.36,2.09
16,1,54,62,2.64,2.36
17,2,50,69,3.48,3.27
18,1,44,39,3.87,2.17
19,2,51,42,2.57,1.12
20,2,41,67,3.89,2.86
21,2,48,57,2.05,1.79
22,1,36,56,3.43,2.72
23,1,35,44,2.0,1.0
24,1,69,68,3.75,1.97
25,1,61,64,3.52,3.65
26,1,41,63,3.17,2.41
27,2,49,42,4.3,3.86
28,1,52,55,3.03,2.84
29,1,50,59,2.71,1.49
30,1,56,47,3.1,1.19
31,1,51,61,2.65,2.92
32,1,50,49,3.44,1.63
33,2,62,62,3.36,2.74
34,1,50,64,4.03,3.15
35,1,45,47,3.04,2.11
36,2,43,50,3.85,2.61
37,1,48,61,3.66,2.89
38,2,55,59,3.04,3.3
39,2,48,60,3.12,3.0
40,1,50,45,3.1,1.11
41,2,54,54,3.71,2.98
42,2,41,43,3.2,0.74
43,1,46,50,2.55,3.36
44,2,44,48,3.23,2.84
45,1,47,49,3.31,1.79
46,1,34,55,2.58,1.56
47,1,54,59,3.45,3.92
48,1,47,48,2.5,1.19
49,1,53,67,3.12,1.59
50,1,54,57,3.4,2.23
51,1,45,47,2.87,2.04
52,2,40,55,2.35,0.44
53,2,34,47,2.89,3.36
54,1,55,58,3.07,2.47
55,1,61,56,3.43,2.42
56,1,35,60,3.43,3.02
57,2,52,56,3.71,3.71
58,2,47,49,3.37,2.99
59,1,48,61,2.88,1.19
60,2,46,49,3.2,3.27
61,2,46,58,3.67,3.45
62,2,53,42,3.54,2.85
63,2,53,58,3.28,1.85
64,1,40,53,2.19,2.31
65,2,40,45,3.08,1.55
66,1,44,50,2.82,2.83
67,2,45,52,2.89,3.13
68,1,60,59,4.17,3.19
69,1,43,54,2.75,3.26
70,2,40,52,2.94,2.48
71,1,59,52,3.04,2.73
72,1,58,60,3.42,1.67
73,1,41,45,1.99,0.76
74,1,46,42,3.45,2.44
75,1,51,53,3.74,2.05
76,1,51,69,4.07,3.65
77,2,34,44,2.65,1.38
78,1,50,62,3.32,2.49
79,2,52,40,4.04,3.07
80,2,52,54,2.86,3.2
81,2,39,53,2.83,2.86
82,2,47,47,3.47,3.18
83,1,35,54,2.52,2.29
84,1,58,54,3.21,3.51
85,2,51,53,3.61,2.34
86,2,40,48,3.73,1.32
87,1,42,59,3.83,2.46
88,1,42,72,3.73,2.92
89,1,47,46,3.2,2.69
90,2,38,48,3.83,2.44
91,2,38,52,2.89,1.98
92,1,59,67,3.62,3.56
93,1,49,56,3.65,2.87
94,1,39,59,2.48,1.99
95,2,55,60,3.72,3.54
96,1,45,62,3.46,2.06
97,2,41,53,2.55,2.6
98,1,47,53,3.57,2.36
99,2,29,40,2.7,0.65
100,1,52,52,2.76,1.57
101,2,55,52,3.33,2.47
102,2,48,51,3.26,2.43
103,2,55,44,3.06,1.03
104,1,47,36,3.11,2.12
105,1,48,51,2.35,1.08
106,2,44,45,3.99,3.2
107,1,60,71,2.87,2.85
108,1,40,46,3.39,2.02
109,1,62,64,3.67,3.4
110,1,59,70,4.03,3.45
111,1,51,60,3.38,2.43
112,2,60,53,3.74,3.6
113,1,47,53,3.14,2.51
114,1,55,60,2.98,1.99
115,1,61,64,3.25,1.75
116,1,46,51,2.12,0.93
117,1,45,57,3.19,2.8
118,2,45,41,2.52,0.69
119,1,39,48,3.4,2.77
120,1,39,56,3.51,3.69
121,2,42,51,3.54,3.36
122,2,54,52,2.98,2.18
123,2,45,45,2.53,2.33
124,1,52,48,3.49,2.94
125,2,46,62,3.12,2.85
126,1,49,60,2.97,1.87
127,2,66,62,4.01,3.14
128,1,47,59,2.26,2.67
129,2,51,51,2.78,2.54
