,Unnamed: 0,PUMA,YEAR,HHWT,GQ,PERWT,SEX,AGE,MARST,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,HCOVPRIV,HINSEMP,HINSCAID,HINSCARE,EDUC,EMPSTAT,EMPSTATD,LABFORCE,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WRKRECAL,WORKEDYR,INCTOT,INCWAGE,INCWELFR,INCINVST,INCEARN,POVERTY,DEPARTS,ARRIVES,sim_individual_id
0,774,17-3409,2012,35.0,1,63.0,1,21,6,1,0,0,3,2,2,2,1,1,4,2,23,1,1,2,1,4,3,3,1539,2110,0,-48,1240,343,0,0,1100067
1,97,39-2700,2012,334.0,1,360.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,13,2,1,4,2,5,3,3,33480,35300,300,-346,41960,227,1334,1388,1037213
2,312,39-2300,2012,63.0,1,86.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,11,2,1,4,3,4,2,3,33130,31220,0,518,35010,501,1294,1315,441716
3,579,17-2100,2012,160.0,1,238.0,1,21,6,1,0,1,3,2,2,2,1,1,7,1,14,2,2,4,3,5,3,3,40047,39010,0,539,37890,479,1334,1357,416195
4,117,17-202,2012,113.0,1,100.0,1,21,6,1,0,0,3,2,2,2,1,1,8,2,20,2,1,3,2,5,3,3,6736,3370,200,-152,4990,212,911,893,103820
5,153,17-1001,2012,83.0,1,119.0,1,21,5,1,0,0,3,2,2,2,1,1,6,2,22,1,3,4,3,5,3,3,9363,3080,200,873,4010,205,872,908,4078
6,215,17-2000,2012,41.0,1,51.0,1,21,6,1,0,0,3,1,1,1,1,1,6,2,25,1,1,3,2,4,3,3,2914,2010,0,399,2140,0,173,161,286852
7,250,39-100,2012,52.0,1,51.0,1,21,6,1,0,0,3,2,2,1,1,1,7,2,23,2,2,2,3,4,3,3,2453,1300,100,-408,1310,219,118,124,65045
8,971,39-4105,2012,55.0,1,86.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,3,4,3,4,3,3,20327,16620,0,235,12580,476,889,911,981285
9,379,39-4000,2012,135.0,1,122.0,1,21,6,1,0,0,3,1,1,1,1,1,5,2,25,1,2,3,2,5,3,3,6050,2150,0,166,3330,47,538,523,1129711
