	Unnamed: 0	PUMA	YEAR	HHWT	GQ	PERWT	SEX	AGE	MARST	RACE	HISPAN	CITIZEN	SPEAKENG	HCOVANY	HCOVPRIV	HINSEMP	HINSCAID	HINSCARE	EDUC	EMPSTAT	EMPSTATD	LABFORCE	WRKLSTWK	ABSENT	LOOKING	AVAILBLE	WRKRECAL	WORKEDYR	INCTOT	INCWAGE	INCWELFR	INCINVST	INCEARN	POVERTY	DEPARTS	ARRIVES	sim_individual_id
0	102	17-2300	2012	23.0	4	36.0	1	21	6	1	0	0	3	2	2	2	1	1	7	3	29	1	2	2	2	5	3	2	3939	1780	0	41	2620	0	264	218	147801
1	155	17-2200	2012	7.0	3	11.0	1	21	6	1	0	0	3	2	2	2	1	1	8	1	13	2	2	3	2	5	3	2	21749	7040	0	43	7210	340	183	196	109211
2	52	17-2000	2012	167.0	1	169.0	1	21	6	1	0	0	3	2	2	2	1	1	6	2	19	2	2	2	1	5	3	3	36336	37430	0	215	39620	181	130	149	85046
3	57	17-2000	2012	52.0	3	69.0	1	21	6	1	0	0	3	2	2	1	1	1	7	3	29	1	1	2	1	5	3	2	657	150	0	0	160	0	0	0	103413
4	25	17-1602	2012	29.0	4	30.0	1	21	6	1	0	0	3	2	2	2	1	1	8	2	23	1	2	3	2	5	3	2	783	250	0	0	530	0	171	181	64908
5	168	17-1205	2012	186.0	2	128.0	1	21	6	1	0	0	3	2	2	2	1	1	6	1	10	2	3	4	3	5	3	3	47476	54670	0	105	55120	501	1333	1392	136912
6	128	17-2501	2012	73.0	1	78.0	1	21	6	1	0	0	3	2	2	2	1	1	7	1	10	2	3	4	3	5	3	3	35876	26560	0	95	31800	501	1374	1402	106775
7	105	17-2000	2012	6.0	2	25.0	1	21	6	1	0	0	3	2	2	2	1	1	6	2	19	2	2	4	3	5	3	3	6601	8130	0	0	7690	109	0	0	119583
8	18	17-2000	2012	83.0	2	81.0	1	21	5	1	0	0	3	2	2	2	1	1	7	1	10	2	3	4	3	5	3	3	26946	24750	0	18	26240	304	1709	1734	17524
9	87	17-1001	2012	65.0	1	106.0	1	21	6	1	0	0	3	1	1	1	1	1	5	1	10	2	2	4	3	5	3	3	5606	8910	0	13	8010	164	1598	1646	72051
10	129	17-2000	2012	29.0	2	35.0	1	21	6	1	0	0	3	1	1	1	1	1	7	2	20	1	1	2	2	4	3	2	3921	4090	0	47	3600	188	746	802	120970
11	142	17-2000	2012	124.0	1	210.0	1	21	6	1	0	0	3	2	2	2	1	1	7	1	10	2	2	4	3	4	3	3	14722	10110	0	0	14160	374	1016	1020	129270
12	109	17-1205	2012	128.0	4	131.0	1	21	6	1	0	0	3	2	2	2	1	1	7	2	23	1	2	2	1	4	3	2	3190	4700	0	0	4260	0	502	497	97338
13	127	17-1900	2012	21.0	1	22.0	1	21	6	1	0	0	3	1	1	2	1	1	7	2	18	2	2	3	2	5	3	3	8931	11240	0	0	9180	189	194	235	113965
14	11	17-1900	2012	97.0	1	99.0	1	21	6	1	0	0	3	2	2	2	1	1	6	1	14	2	2	4	3	5	3	3	17116	30330	0	0	11410	501	981	984	30565
15	178	17-2501	2012	62.0	2	87.0	1	21	6	1	0	0	3	2	2	2	1	1	7	3	25	1	1	2	2	5	3	2	4969	1220	0	7	2020	0	214	212	179143
16	10	17-1001	2012	36.0	1	30.0	1	21	6	1	0	0	3	2	2	2	1	1	6	2	17	2	3	3	3	4	3	3	7380	17270	0	0	9750	456	648	690	42546
17	185	17-2601	2012	38.0	1	70.0	1	21	6	1	0	0	3	2	2	2	1	1	8	3	30	1	1	1	1	4	3	2	5654	4400	0	157	5910	376	0	0	199417
18	108	17-1900	2012	143.0	3	193.0	1	21	6	1	0	0	3	1	1	1	1	1	7	3	26	1	1	1	1	5	3	3	4987	5980	0	0	7450	0	0	0	124775
19	188	17-2400	2012	37.0	1	29.0	1	21	6	1	0	0	3	2	2	2	1	1	6	3	28	1	1	1	2	4	3	3	5973	2980	0	21	6010	501	0	7	199417
20	142	17-2501	2012	67.0	1	87.0	1	21	6	1	0	0	3	2	2	2	1	1	6	2	20	2	1	2	1	5	3	3	23842	11540	0	149	13680	301	532	567	122883
21	8	17-1701	2012	73.0	3	92.0	1	21	6	1	0	0	3	2	2	1	1	1	6	2	23	1	3	4	2	5	3	3	5009	5560	0	0	6770	103	861	857	12
22	108	17-1701	2012	61.0	3	79.0	1	21	6	1	0	0	3	1	2	1	1	1	6	2	20	1	2	4	3	5	3	3	9202	9450	0	108	15610	237	81	82	91333
23	92	17-2200	2012	73.0	1	88.0	1	21	6	1	0	0	3	2	2	2	1	1	8	2	21	2	2	3	2	4	3	3	17363	8260	0	152	8210	384	257	219	110834
24	116	17-2200	2012	62.0	2	67.0	1	21	6	1	0	0	3	1	1	1	1	1	7	3	30	1	1	1	1	4	3	1	204	250	0	122	280	191	0	0	126430
25	71	17-1602	2012	63.0	2	61.0	1	21	6	1	0	0	3	1	1	1	1	1	4	3	27	2	1	2	2	3	3	2	81	200	0	0	200	0	403	371	95571
26	183	17-2501	2012	157.0	1	212.0	1	21	6	1	0	0	3	2	2	2	1	1	6	1	10	2	2	3	3	5	3	3	22681	21130	0	44	25640	463	1666	1722	168780
27	186	17-2501	2012	56.0	2	57.0	1	21	6	1	0	0	3	2	2	2	1	1	6	2	16	1	2	2	2	5	3	3	22727	32850	0	68	30820	61	1589	1658	175206
28	81	17-2601	2012	619.0	2	621.0	1	21	6	1	0	0	3	2	1	1	1	1	8	2	21	1	2	3	2	5	3	3	15714	19070	0	0	14760	123	832	838	107570
29	13	17-1001	2012	43.0	2	39.0	1	21	6	1	0	0	3	1	1	1	1	1	6	1	12	2	2	2	2	5	3	3	34811	32700	0	11	44800	0	1014	1052	11722
