	sex	sat_v	sat_m	sat_sum	hs_gpa	fy_gpa
0	2	54	60	115	3.83	3.03
1	1	55	60	114	3.39	2.33
2	2	52	66	116	3.86	2.83
3	2	52	53	103	2.65	1.5
4	1	47	62	106	3.06	2.73
5	2	43	58	99	3.78	2.69
6	2	60	48	107	4.12	2.6
7	2	51	51	101	3.29	2.17
8	2	40	39	77	3.5	3.18
9	2	42	52	95	2.37	2.22
10	1	36	55	90	2.55	0.76
11	2	50	51	99	3.71	3.25
12	1	50	53	104	3.57	2.91
13	1	30	51	80	3.71	2.16
14	1	43	56	100	3.27	3.21
15	2	61	67	128	4.47	3.16
16	2	43	45	89	3.33	3.01
17	1	40	63	106	3.55	2.11
18	1	47	47	97	3.22	2.16
19	2	43	48	91	2.9	3.34
20	1	48	65	110	3.16	1.3
21	2	50	59	109	3.19	2.45
22	1	49	61	109	2.7	1.84
23	2	50	59	108	2.61	3.04
24	1	37	50	89	2.16	1.72
25	2	59	51	112	3.2	3.43
26	1	42	71	115	3.08	2.67
27	1	65	59	124	3.71	3.3
28	1	58	76	141	3.99	3.65
29	1	49	51	96	3.25	1.52
30	1	42	61	102	2.41	0.51
31	1	61	51	109	2.48	1.42
32	1	45	49	97	3.45	2.09
33	1	40	56	96	2.37	1.66
34	2	38	58	97	4.01	2.23
35	2	53	62	116	3.49	2.82
36	2	54	55	108	3.05	2.43
37	1	44	61	105	3.36	2.26
38	2	58	67	125	3.5	3.64
39	1	42	60	101	3.05	1.45
40	1	56	49	105	3.02	3.29
41	1	51	68	116	3.84	3.02
42	1	40	50	91	2.93	1.57
43	2	57	65	122	3.39	2.67
44	2	53	55	110	3.16	2.08
45	1	42	45	86	2.73	2.43
46	1	46	54	102	2.62	2.95
47	1	45	55	101	2.05	0.14
48	1	47	53	99	3.1	2.5
49	2	42	63	105	3.13	2.49
50	1	54	58	111	3.6	3.0
51	1	42	33	75	1.91	1.48
52	2	58	45	105	3.06	2.3
53	2	51	42	98	2.8	1.19
54	1	54	58	112	2.73	2.41
55	1	50	57	107	3.05	2.27
