,CHIAVE_NUM_CHIAMANTE,DATA_CHIAMATA,ORA_MIN_CHIAMATA,COD_CELLA_CHIAMATA
0,14626041936933770,20170210,000026,18
1,14632842300757262,20170115,204942,517
2,14623653088778644,20170122,211842,246
3,14622595996472314,20170114,172120,77
4,14620176174167388,20170128,113819,633
5,14629884900907142,20170103,151516,42
6,14621525652129232,20170205,104443,332
7,14617557860290770,20170202,193452,150
8,14625956086525780,20170208,204015,104
9,14634868789168312,20170125,163000,883
10,14616201736782682,20170210,210307,215
11,14620800972681410,20170112,133439,899
12,14634444192309136,20170209,222329,133
13,14619168115841122,20170105,132939,628
14,14614651939752646,20170130,132712,107
15,14623879438082408,20170110,152957,240
16,14628444731595654,20170203,174226,309
17,14618851231410644,20170204,150814,785
18,14614380723617034,20170113,151632,88
19,14618567089140318,20170209,135009,271
20,14617685771261346,20170212,093701,741
21,14626780363999492,20170121,205243,232
22,14628506756037520,20170203,164907,54
23,14617877506355386,20170122,232514,237
24,14615785031273776,20170118,152522,841
25,14612774699459936,20170207,162218,220
26,14623818883974006,20170103,162510,673
27,14626724927176668,20170131,194755,780
28,14622863727786334,20170211,183515,915
29,14624657128959238,20170210,174640,30
30,14622176038383940,20170130,180842,625
31,14621019697255920,20170128,213148,634
32,14618887108203592,20170119,152414,38
33,14618033031534054,20170210,173704,53
34,14613398194694004,20170206,132443,42
35,14615730692811382,20170127,134736,288
36,14625628024935372,20170211,211530,2
37,14636821201654274,20170102,174906,309
38,14622910393807480,20170210,160430,733
39,14616069456657138,20170205,201635,138
40,14628053647837098,20170209,195952,795
41,14618266140105166,20170206,143514,52
42,14622720373555484,20170211,170409,134
43,14620229147853460,20170209,005707,629
44,14616743444881856,20170208,131542,617
45,14622282281791972,20170103,113012,168
46,14614077844687160,20170206,205209,11
47,14620930503152094,20170201,153530,656
48,14619908401500240,20170113,142242,285
49,14638306847592158,20170102,095312,86
50,14621306850099656,20170211,191926,12
51,14617090491004434,20170201,150355,166
52,14615250519808720,20170131,142151,217
53,14624238258523786,20170211,180934,219
54,14622179257363990,20170210,192345,245
55,14623091231039310,20170126,091008,33
56,14628279619711514,20170104,192011,15
57,14631187462759872,20170202,155329,264
58,14623929148481506,20170121,170247,35
59,14629624447087376,20170124,081936,140
60,14623722887608708,20170117,145654,257
61,14626186251476166,20170203,131123,49
62,14625800139282640,20170104,113453,248
63,14623214446952880,20170109,145458,941
64,14627774677005256,20170118,194215,904
65,14619395897407218,20170208,121345,17
66,14637403997204710,20170121,213844,796
67,1493295938716845,20170114,072031,6
68,14623772065668322,20170107,125014,772
69,14622282692041264,20170207,160213,46
70,14617123379705632,20170104,170929,229
71,14627450443533048,20170130,212547,208
72,14622699662858390,20170107,102500,188
73,14628023828949308,20170211,134859,854
74,14628616119965772,20170106,194238,166
75,14621468723968178,20170119,171456,633
76,14616840994943276,20170121,123254,444
77,14629012944588830,20170205,170111,296
78,14624512682480668,20170209,210734,238
79,14625946940920348,20170203,161836,80
80,14631356183524990,20170206,175419,774
81,14621893304417384,20170129,224052,743
82,14626078408424092,20170114,221141,242
83,14625474715102884,20170108,194745,67
84,14628413080042222,20170210,213347,106
85,14621387746008988,20170209,202937,912
86,14611565020180374,20170208,225031,23
87,14628028549769968,20170130,111536,121
88,14620452418974730,20170102,013203,345
89,14625696921873392,20170204,164933,77
90,14623942747096860,20170114,191441,380
91,14625422812987966,20170211,210944,363
92,14629139449717130,20170202,193301,93
93,14625922990894838,20170208,121555,736
94,14623351245728234,20170211,163312,880
95,14618718149822082,20170122,124654,143
96,14622996703038280,20170111,095330,149
97,14620060286947182,20170205,203543,203
98,14626097600214206,20170103,201754,293
99,14630952511348938,20170111,180126,838
100,14625218374278426,20170203,115424,120
101,14626107935870786,20170210,161719,27
102,14626250249709432,20170209,205156,804
103,14622461488529012,20170202,154706,813
104,14627225053228030,20170203,112613,195
105,14622075189918206,20170126,190549,130
106,14619538263101374,20170121,135620,86
107,14619875271736556,20170206,175812,250
108,14618884059887246,20170110,165236,628
109,14624590962640510,20170210,191703,251
110,14633144498919460,20170115,225902,137
111,14623052555361588,20170207,130307,141
112,14622945746137732,20170118,161059,149
113,14629503789160194,20170126,165953,133
114,14620915649502102,20170130,212556,736
115,14620268466802072,20170208,131545,58
116,14616362559428418,20170125,195531,106
117,14616549541128004,20170207,105653,219
118,14621876639762916,20170211,105753,141
119,14622260022649948,20170124,215030,874
120,14633167266770608,20170119,093022,161
121,14627899384913454,20170115,103825,216
122,14634882841355286,20170119,154512,-9
123,14620328223385850,20170208,211854,27
124,14626803566386690,20170209,204459,7
125,14624983091386064,20170111,193910,186
126,14614709159436848,20170208,211121,196
127,14618688661759322,20170207,205131,247
128,14631959905071350,20170203,171711,165
129,14626880281035230,20170211,205058,176
130,14621632090487728,20170108,194556,48
131,1537513693844178,20170123,092002,323
132,1541341620515686,20170209,003435,188
133,14620258850230452,20170207,214342,803
134,14622521404617714,20170206,141326,257
135,14628717227709060,20170120,201853,308
136,14619323122792884,20170103,115329,713
137,14625507836333382,20170206,161757,138
138,14629165502188216,20170116,181946,640
139,14619336898964134,20170208,195956,722
140,14618119652226118,20170123,183756,390
141,14619534748085434,20170204,210027,876
142,14622727477104036,20170111,122211,748
143,14623352485665696,20170125,201735,223
144,14622027834678250,20170106,202719,379
145,14630852959270970,20170211,210230,379
146,14627044378126720,20170112,112753,230
147,14630117302864872,20170109,170039,692
148,14617617517594218,20170113,175358,92
149,14615049168327670,20170116,193817,216
150,14622684289340494,20170131,121142,184
151,14620424532525208,20170125,114717,54
152,14620754115648194,20170125,080630,60
153,14617229171018944,20170210,175415,205
154,14619955510262422,20170109,155856,703
155,14618752942900498,20170112,180812,335
156,14629718413210974,20170129,093643,282
157,14623252903393380,20170124,165858,267
158,14621064781355792,20170102,213652,712
159,14625551771735236,20170205,015437,394
160,14627201215446726,20170210,115706,171
161,14623265416981406,20170111,183720,364
162,14622910359674740,20170112,195842,903
163,14625563783834526,20170120,164438,341
164,14622821597481370,20170105,194224,69
165,14627697938726356,20170111,213404,639
166,14628018861322672,20170121,163805,95
167,14620188501009936,20170208,205540,379
168,14621656446167738,20170210,203812,131
169,14625670132922776,20170209,185305,79
170,14620493692350974,20170210,230321,328
171,1559617829454636,20170129,111922,842
172,14629649314102104,20170209,164747,501
173,14628492051390072,20170209,143140,62
174,14628854651376134,20170202,171951,400
175,14616693025571980,20170206,181313,256
176,14632879207440034,20170121,211140,242
177,14617026366906686,20170107,175251,618
178,14625449861216134,20170123,135852,169
179,14623960176456012,20170109,103318,3
180,14624061713484158,20170116,155912,598
181,14622661045600168,20170114,204513,13
182,14620186246279824,20170205,172335,145
183,1563582047190182,20170102,184600,322
184,14623366334369020,20170102,163956,842
185,14629605202785354,20170211,080237,645
186,14620392390641822,20170210,121247,238
187,14621369857827028,20170103,174414,340
188,14626097539825510,20170210,181824,664
189,14619170439493116,20170110,185851,23
190,14613395456690226,20170105,192823,206
191,14636733449002362,20170129,173910,677
192,14615238677229566,20170209,131743,232
193,14626131946941390,20170211,192005,270
194,14625533034173140,20170207,172657,63
195,14624873720893824,20170119,110350,53
196,14628935539408680,20170209,172846,320
197,14618854005680462,20170205,152925,891
198,14618231928924348,20170208,191138,915
199,14624380813260816,20170208,195137,340
200,14632790924417838,20170210,110007,309
201,14625571168978194,20170205,110425,171
202,14628937780354418,20170123,213704,895
203,14625433555611846,20170105,182759,327
204,14629345561587386,20170211,095628,254
205,14624528667105910,20170208,153554,75
206,14624118027255870,20170202,083605,659
207,14624320019566828,20170126,110233,37
208,14629942111319710,20170206,184436,199
209,14616654454261678,20170208,094442,326
210,14609642686187956,20170120,020904,154
211,14620309197992850,20170202,175529,751
212,14618796197944924,20170127,140722,66
213,14617000328548178,20170102,114045,180
214,14629241447537282,20170117,181915,897
215,14622501016868864,20170104,220150,371
216,14609942639137826,20170128,193327,364
217,14612769728879506,20170111,160137,374
218,14627374672786080,20170119,143609,333
219,14626833141094102,20170120,164455,407
220,14621139003657830,20170204,200725,843
221,14623225741608208,20170211,181039,78
222,14620586793340864,20170105,211952,408
223,14606424769503778,20170206,173601,44
224,14620029247157496,20170208,134709,235
225,14619609344206626,20170208,163144,171
226,14626134947340618,20170124,162306,257
227,14622450111167426,20170122,171316,145
228,14616342549190966,20170210,163438,718
229,14626416978960382,20170204,183137,282
