,CHIAVE_NUM_CHIAMANTE,DATA_CHIAMATA,ORA_MIN_CHIAMATA,COD_CELLA_CHIAMATA
0,F14616935434220920,2017-01-10,1900-01-01 23:04:37,F644
1,F14615224339316630,2017-01-29,1900-01-01 10:22:12,F20
2,F14615286875279600,2017-02-12,1900-01-01 06:43:13,F8
3,F14615426104544740,2017-01-16,1900-01-01 14:09:45,F354
4,F14615342747560270,2017-01-26,1900-01-01 06:57:59,F756
5,F14615215913165090,2017-02-05,1900-01-01 10:18:29,F20
6,F14615224339316630,2017-01-29,1900-01-01 10:11:01,F779
7,F14615338358673270,2017-01-24,1900-01-01 09:00:39,F18
8,F14615166004947990,2017-02-06,1900-01-01 12:33:40,F6
9,F1508348000516039,2017-01-12,1900-01-01 09:02:09,F70
10,F14615341847852130,2017-02-03,1900-01-01 16:24:24,F388
11,F14615426766768880,2017-01-09,1900-01-01 22:26:47,F191
12,F14615339806425970,2017-02-12,1900-01-01 14:49:11,F278
13,F14615341249566000,2017-01-26,1900-01-01 10:46:30,F45
14,F1511450097286867,2017-01-14,1900-01-01 13:12:10,F21
15,F14615230806211460,2017-02-06,1900-01-01 07:19:16,F528
16,F14615393701629500,2017-01-06,1900-01-01 14:52:09,F780
17,F14615342747560270,2017-01-06,1900-01-01 11:31:53,F21
18,F1511070392230259,2017-01-07,1900-01-01 15:14:03,F337
19,F14615224339316630,2017-02-05,1900-01-01 10:17:30,F284
20,F14615442335644470,2017-01-28,1900-01-01 12:02:57,F10
21,F14615169567198860,2017-01-11,1900-01-01 13:59:54,F305
22,F14615368752090240,2017-02-04,1900-01-01 20:29:37,F313
23,F14615362915496210,2017-01-17,1900-01-01 07:49:05,F771
24,F1508348000516039,2017-02-03,1900-01-01 14:12:30,F691
25,F14615194667453690,2017-01-15,1900-01-01 21:21:44,F683
26,F14615362915496210,2017-01-27,1900-01-01 15:35:54,F21
27,F14615169567198860,2017-01-15,1900-01-01 17:18:03,F197
28,F14615400278086670,2017-02-04,1900-01-01 11:51:10,F21
29,F14615341249566000,2017-02-06,1900-01-01 10:47:54,F101
30,F14615224311914630,2017-02-02,1900-01-01 16:49:02,F644
31,F14615396446378240,2017-01-29,1900-01-01 20:19:00,F557
32,F14615336477051000,2017-02-07,1900-01-01 19:37:25,F785
33,F14615169567198860,2017-02-12,1900-01-01 18:05:35,F266
34,F14615422734112440,2017-01-25,1900-01-01 09:55:25,F106
35,F14615342747560270,2017-02-10,1900-01-01 10:12:19,F103
36,F14615224339316630,2017-02-07,1900-01-01 13:10:56,F144
37,F14615228723636630,2017-02-08,1900-01-01 16:30:05,F256
38,F14615194667453690,2017-02-06,1900-01-01 18:37:54,F426
39,F14615339806425970,2017-01-21,1900-01-01 07:42:28,F769
40,F14616947669245890,2017-01-29,1900-01-01 08:59:29,F183
41,F1508348000516039,2017-01-17,1900-01-01 17:32:15,F697
42,F14615378881705370,2017-01-08,1900-01-01 15:31:01,F681
43,F14615209638088820,2017-01-21,1900-01-01 11:12:02,F354
44,F14615220484732090,2017-02-05,1900-01-01 08:58:46,F20
45,F14615337422429130,2017-02-04,1900-01-01 18:44:55,F0
46,F14615362915496210,2017-01-26,1900-01-01 18:19:55,F701
47,F14615381681303770,2017-01-24,1900-01-01 12:27:58,F350
48,F14615228723636630,2017-01-17,1900-01-01 14:46:33,F682
49,F14615440495170880,2017-01-08,1900-01-01 17:03:41,F351
50,F14615342747560270,2017-02-03,1900-01-01 07:40:40,F270
51,F14615379863619500,2017-01-29,1900-01-01 11:23:37,F18
52,F14615396446378240,2017-01-27,1900-01-01 14:06:59,F289
53,F14615169567198860,2017-02-12,1900-01-01 17:58:18,F246
54,F1511351423050227,2017-01-27,1900-01-01 07:02:31,F11
55,F14616991777363860,2017-01-22,1900-01-01 14:12:51,F645
56,F1508348000516039,2017-02-09,1900-01-01 12:02:46,F347
57,F14615224339316630,2017-02-10,1900-01-01 07:53:32,F743
58,F14615219210525390,2017-01-21,1900-01-01 15:32:50,F289
59,F14615230806211460,2017-01-15,1900-01-01 23:58:24,F70
60,F14615363285427770,2017-01-05,1900-01-01 21:27:56,F479
61,F14615286875279600,2017-01-11,1900-01-01 12:26:21,F252
62,F14615407585359740,2017-01-31,1900-01-01 20:32:40,F42
63,F14616970979264120,2017-01-08,1900-01-01 17:44:26,F82
64,F14615362915496210,2017-01-27,1900-01-01 12:49:42,F260
65,F14615429182689040,2017-01-14,1900-01-01 12:10:35,F681
66,F14615367719980210,2017-01-25,1900-01-01 12:32:11,F255
67,F14615442335644470,2017-01-28,1900-01-01 14:42:55,F16
68,F14615379863619500,2017-01-24,1900-01-01 23:58:49,F303
69,F14615443733160180,2017-01-11,1900-01-01 17:07:07,F699
70,F14615224339316630,2017-01-31,1900-01-01 17:29:02,F272
71,F14615389847090640,2017-01-31,1900-01-01 07:03:51,F1
72,F14615224339316630,2017-02-03,1900-01-01 08:45:42,F769
73,F14615385618053210,2017-01-23,1900-01-01 13:21:08,F255
74,F14615341249566000,2017-02-12,1900-01-01 10:37:46,F24
75,F1511450097286867,2017-02-07,1900-01-01 05:00:10,F255
76,F14615342747560270,2017-01-04,1900-01-01 22:23:25,F228
77,F1511265983244300,2017-01-08,1900-01-01 13:44:38,F308
78,F14615363285427770,2017-02-08,1900-01-01 19:56:11,F101
79,F14615230806211460,2017-02-01,1900-01-01 15:52:08,F30
80,F14615442335644470,2017-02-04,1900-01-01 07:09:56,F77
81,F14615224339316630,2017-01-29,1900-01-01 10:13:00,F20
82,F14615362915496210,2017-01-26,1900-01-01 23:58:49,F105
83,F14617008108978690,2017-01-23,1900-01-01 08:45:59,F308
84,F14615341249566000,2017-02-06,1900-01-01 13:27:05,F68
85,F14615389847090640,2017-02-02,1900-01-01 12:04:42,F17
86,F1511450097286867,2017-02-08,1900-01-01 06:44:45,F288
87,F14615202088856090,2017-02-08,1900-01-01 16:39:01,F260
88,F14616970979264120,2017-01-06,1900-01-01 09:32:41,F103
89,F14615230806211460,2017-02-08,1900-01-01 18:33:52,F18
90,F14615286875279600,2017-01-19,1900-01-01 11:26:12,F255
91,F14615350739796570,2017-01-16,1900-01-01 11:52:46,F207
92,F14615220416227090,2017-01-19,1900-01-01 07:23:41,F10
93,F14615338358673270,2017-01-29,1900-01-01 09:01:05,F644
94,F14615367719980210,2017-01-28,1900-01-01 13:02:26,F20
95,F14615367719980210,2017-01-29,1900-01-01 10:11:13,F20
96,F14615367719980210,2017-01-29,1900-01-01 10:17:54,F269
97,F14615350739796570,2017-01-27,1900-01-01 12:26:03,F261
98,F14615224339316630,2017-02-03,1900-01-01 16:21:31,F255
99,F14615213615941260,2017-01-15,1900-01-01 16:56:08,F170
100,F14615244297124900,2017-01-07,1900-01-01 19:18:38,F821
101,F14615230806211460,2017-01-13,1900-01-01 12:19:29,F306
102,F14615396446378240,2017-02-12,1900-01-01 07:06:57,F13
103,F14615224339316630,2017-01-25,1900-01-01 17:46:42,F20
104,F14615194667453690,2017-02-07,1900-01-01 11:57:28,F306
105,F14615367719980210,2017-01-27,1900-01-01 08:24:16,F779
106,F14615224339316630,2017-01-25,1900-01-01 19:27:00,F779
107,F14615224339316630,2017-01-29,1900-01-01 10:05:30,F20
108,F14615224339316630,2017-01-29,1900-01-01 06:52:09,F20
109,F14615232970942060,2017-01-28,1900-01-01 06:59:02,F174
110,F1508316675572647,2017-01-29,1900-01-01 13:46:24,F190
111,F14615166004947990,2017-02-12,1900-01-01 13:19:16,F20
112,F14615224339316630,2017-01-20,1900-01-01 15:32:34,F644
113,F14615220005192520,2017-02-01,1900-01-01 16:10:54,F71
114,F1511265983244300,2017-01-17,1900-01-01 18:33:59,F779
115,F14615230806211460,2017-01-15,1900-01-01 05:22:49,F180
116,F14615230806211460,2017-01-29,1900-01-01 14:02:30,F284
117,F14615443459135610,2017-02-06,1900-01-01 11:01:29,F264
118,F14615286875279600,2017-01-25,1900-01-01 10:22:12,F20
119,F14615224339316630,2017-01-18,1900-01-01 14:55:06,F30
120,F14616935434220920,2017-01-28,1900-01-01 13:02:36,F272
121,F14615224339316630,2017-01-29,1900-01-01 10:09:53,F644
122,F14615224339316630,2017-02-05,1900-01-01 15:02:10,F232
123,F14615341249566000,2017-02-12,1900-01-01 19:24:24,F59
124,F14615389847090640,2017-01-08,1900-01-01 22:35:16,F63
125,F14615220484732090,2017-01-05,1900-01-01 14:04:09,F32
126,F14615379863619500,2017-02-02,1900-01-01 15:11:22,F626
127,F1511450097286867,2017-01-30,1900-01-01 13:56:49,F83
128,F14615194667453690,2017-01-17,1900-01-01 09:30:40,F572
129,F14615368752090240,2017-01-28,1900-01-01 12:51:45,F60
130,F14615342747560270,2017-02-09,1900-01-01 16:52:54,F270
131,F14615337422429130,2017-02-12,1900-01-01 13:41:00,F190
132,F14615341249566000,2017-01-11,1900-01-01 20:44:18,F215
133,F14615220484732090,2017-02-09,1900-01-01 09:17:34,F197
134,F14615342747560270,2017-01-31,1900-01-01 13:06:18,F18
135,F14615336477051000,2017-01-06,1900-01-01 15:29:24,F260
136,F14616935434220920,2017-01-16,1900-01-01 17:47:29,F377
137,F14615169567198860,2017-02-05,1900-01-01 13:49:53,F233
138,F14616972901943720,2017-01-17,1900-01-01 18:13:48,F155
139,F14615336477051000,2017-01-23,1900-01-01 13:50:16,F644
140,F14615169567198860,2017-01-22,1900-01-01 13:53:37,F883
141,F14616970979264120,2017-02-09,1900-01-01 16:37:34,F202
142,F14615224339316630,2017-02-11,1900-01-01 15:29:24,F31
143,F14615286875279600,2017-01-24,1900-01-01 10:03:51,F308
144,F14615166004947990,2017-01-07,1900-01-01 16:27:35,F1
145,F14615442335644470,2017-02-08,1900-01-01 09:29:48,F603
146,F14615341249566000,2017-01-29,1900-01-01 15:50:38,F177
147,F14615390824437770,2017-01-12,1900-01-01 16:00:21,F540
148,F14615368752090240,2017-01-02,1900-01-01 10:15:41,F155
149,F14616991777363860,2017-01-06,1900-01-01 09:01:34,F821
150,F1508316675572647,2017-02-03,1900-01-01 14:03:56,F185
151,F14615194667453690,2017-01-14,1900-01-01 22:44:42,F306
152,F14615224339316630,2017-01-30,1900-01-01 12:51:29,F190
153,F14615230806211460,2017-01-06,1900-01-01 14:11:00,F663
154,F14615330681559970,2017-02-01,1900-01-01 22:11:11,F350
155,F14615286875279600,2017-02-02,1900-01-01 09:09:28,F175
156,F1508338528891430,2017-02-08,1900-01-01 08:45:22,F260
157,F14615362915496210,2017-02-10,1900-01-01 13:33:33,F663
158,F14615341249566000,2017-01-31,1900-01-01 13:45:24,F291
159,F14615366112382500,2017-02-06,1900-01-01 08:01:22,F202
160,F14615230806211460,2017-02-08,1900-01-01 11:44:46,F18
161,F14615342747560270,2017-02-04,1900-01-01 10:38:15,F192
162,F14615339806425970,2017-01-01,1900-01-01 19:53:06,F267
163,F1508316675572647,2017-01-28,1900-01-01 14:43:20,F114
164,F14615362915496210,2017-01-30,1900-01-01 20:14:24,F741
165,F14615362915496210,2017-01-24,1900-01-01 21:26:22,F150
166,F14615379863619500,2017-01-19,1900-01-01 11:42:09,F861
167,F14615205906858960,2017-01-22,1900-01-01 05:27:39,F698
168,F14615442335644470,2017-01-14,1900-01-01 09:31:57,F166
169,F14615224339316630,2017-01-29,1900-01-01 10:17:51,F20
170,F14615202088856090,2017-01-09,1900-01-01 20:16:57,F6
171,F1511541336849403,2017-02-04,1900-01-01 14:40:32,F644
172,F14615286875279600,2017-01-29,1900-01-01 09:03:33,F185
173,F1511450097286867,2017-01-25,1900-01-01 11:43:24,F304
174,F14615230806211460,2017-01-27,1900-01-01 10:07:01,F78
175,F14615220009759520,2017-01-23,1900-01-01 13:05:33,F367
176,F14615178436353960,2017-02-03,1900-01-01 07:28:41,F264
177,F14615396446378240,2017-01-09,1900-01-01 12:17:36,F1
178,F14615215913165090,2017-01-24,1900-01-01 20:07:08,F308
179,F1511351423050227,2017-01-04,1900-01-01 21:20:45,F25
180,F14615396446378240,2017-01-20,1900-01-01 11:10:01,F133
181,F14615230806211460,2017-01-28,1900-01-01 12:19:36,F253
182,F14615367719980210,2017-01-17,1900-01-01 15:25:00,F206
183,F14615341249566000,2017-01-07,1900-01-01 20:32:11,F267
184,F14615224339316630,2017-01-29,1900-01-01 11:25:05,F100
185,F14615407585359740,2017-01-24,1900-01-01 15:32:50,F173
186,F14615336577525000,2017-01-25,1900-01-01 18:08:22,F170
187,F14616970979264120,2017-02-02,1900-01-01 05:30:42,F34
188,F14615442335644470,2017-02-10,1900-01-01 21:47:33,F252
189,F14615166004947990,2017-02-06,1900-01-01 09:17:16,F254
190,F14615230806211460,2017-02-02,1900-01-01 14:04:28,F15
191,F14615362915496210,2017-02-11,1900-01-01 08:26:19,F30
192,F14615362915496210,2017-01-14,1900-01-01 18:20:41,F278
193,F14615194667453690,2017-01-11,1900-01-01 17:53:58,F304
194,F14615366820272070,2017-01-22,1900-01-01 12:21:20,F30
195,F1508348000516039,2017-01-29,1900-01-01 11:38:31,F351
196,F14615341249566000,2017-02-08,1900-01-01 07:57:45,F103
197,F14615350739796570,2017-02-07,1900-01-01 16:53:54,F644
198,F14615213615941260,2017-01-15,1900-01-01 19:26:52,F190
199,F14615418322390440,2017-01-11,1900-01-01 21:50:00,F42
200,F14615224339316630,2017-01-29,1900-01-01 10:10:15,F20
201,F14615224339316630,2017-01-19,1900-01-01 11:13:54,F256
202,F1508348000516039,2017-02-01,1900-01-01 06:44:21,F190
203,F14615390824437770,2017-01-14,1900-01-01 17:04:47,F1
204,F1508348000516039,2017-01-22,1900-01-01 13:27:11,F367
205,F14615372369190770,2017-02-08,1900-01-01 11:58:32,F499
206,F14615342747560270,2017-02-02,1900-01-01 06:20:23,F644
207,F14615390824437770,2017-01-07,1900-01-01 10:23:49,F215
208,F14616970979264120,2017-01-28,1900-01-01 11:35:45,F11
209,F14615367719980210,2017-02-04,1900-01-01 11:01:49,F779
210,F14617010392501520,2017-02-10,1900-01-01 22:10:24,F769
211,F14615228723636630,2017-01-12,1900-01-01 14:02:16,F247
212,F14616991777363860,2017-01-22,1900-01-01 10:00:26,F249
213,F1508338528891430,2017-02-12,1900-01-01 23:24:07,F494
214,F14615443733160180,2017-01-14,1900-01-01 22:32:23,F205
215,F14615213615941260,2017-02-07,1900-01-01 11:52:29,F255
216,F14615166004947990,2017-01-30,1900-01-01 07:47:57,F205
217,F14615341249566000,2017-01-22,1900-01-01 17:03:42,F20
218,F14615169567198860,2017-02-09,1900-01-01 11:55:41,F348
219,F14615426104544740,2017-02-05,1900-01-01 10:53:23,F145
220,F14615169567198860,2017-02-09,1900-01-01 23:58:43,F13
221,F14615169567198860,2017-02-12,1900-01-01 11:39:27,F1
222,F14615414061338340,2017-02-08,1900-01-01 05:43:33,F229
223,F14615230806211460,2017-01-13,1900-01-01 19:48:56,F530
224,F14615390824437770,2017-01-30,1900-01-01 18:13:13,F540
225,F14615215913165090,2017-01-23,1900-01-01 19:49:37,F44
226,F14615194667453690,2017-01-22,1900-01-01 05:28:09,F484
227,F14615184263859660,2017-02-03,1900-01-01 13:22:42,F255
228,F14616947669245890,2017-01-06,1900-01-01 20:02:09,F30
229,F1511450097286867,2017-01-13,1900-01-01 17:48:22,F780
230,F14615224339316630,2017-01-29,1900-01-01 11:06:10,F20
231,F14615178436353960,2017-01-31,1900-01-01 09:07:14,F284
232,F14616972901943720,2017-01-05,1900-01-01 12:38:33,F20
233,F14615224339316630,2017-01-17,1900-01-01 16:57:10,F255
234,F14615286875279600,2017-02-03,1900-01-01 11:40:25,F20
235,F14615362915496210,2017-02-02,1900-01-01 19:11:21,F245
236,F14615362915496210,2017-01-17,1900-01-01 14:31:47,F779
237,F14615342747560270,2017-02-08,1900-01-01 08:50:30,F423
238,F1508348000516039,2017-01-27,1900-01-01 05:38:40,F269
239,F14615367852427770,2017-02-08,1900-01-01 11:00:04,F270
240,F14615389847090640,2017-02-03,1900-01-01 13:35:51,F644
241,F14616970979264120,2017-01-05,1900-01-01 19:18:17,F169
242,F14615230806211460,2017-02-03,1900-01-01 18:33:02,F1
243,F1508348000516039,2017-01-01,1900-01-01 22:28:29,F248
244,F14617008108978690,2017-01-08,1900-01-01 11:37:33,F15
245,F14615238277805200,2017-01-08,1900-01-01 16:18:01,F190
246,F14615389847090640,2017-01-17,1900-01-01 18:55:25,F205
