,NUM_CALLER_KEY,CELL_CALL_CODE,TIME_CALL,FESTIVE
0,C14615366112382500,C92,2017-01-15 10:44:06,1
1,C14615208500896690,C2,2017-01-30 09:15:04,0
2,C14615230806211460,C190,2017-01-16 06:37:55,0
3,C14615194667453690,C252,2017-01-26 05:11:16,0
4,C14615256934004760,C341,2017-01-13 00:00:05,0
5,C14615330160917400,C281,2017-01-10 23:54:39,0
6,C14615230806211460,C758,2017-01-19 15:52:43,1
7,C14615368752090240,C259,2017-02-01 00:16:26,0
8,C14615341249566000,C190,2017-01-06 05:23:53,0
9,C14615169567198860,C95,2017-01-14 08:13:19,0
10,C14615169567198860,C426,2017-01-15 14:47:30,0
11,C14615362915496210,C219,2017-01-16 13:45:31,1
12,C14615166004947990,C149,2017-01-06 05:56:37,0
13,C14615341249566000,C278,2017-01-15 14:35:52,0
14,C14615362915496210,C267,2017-01-22 18:05:07,0
15,C14615230806211460,C278,2017-01-21 18:08:23,0
16,C14615228723636630,C799,2017-01-15 13:15:33,0
17,C14615169567198860,C40,2017-01-27 21:17:10,0
18,C14615230806211460,C756,2017-01-18 21:50:34,1
19,C14615342747560270,C303,2017-01-21 04:34:44,1
20,C14615362915496210,C148,2017-01-27 12:54:35,0
21,C14615342747560270,C263,2017-01-22 00:58:07,0
22,C14615194667453690,C256,2017-01-15 17:17:48,0
23,C14615169567198860,C250,2017-01-26 02:18:02,0
24,C14615230806211460,C155,2017-01-31 22:18:37,1
25,C14615339806425970,C267,2017-01-12 22:42:08,0
26,C14615169567198860,C691,2017-01-26 19:39:13,0
27,C1508348000516039,C99,2017-01-24 02:10:03,0
28,C14615342747560270,C87,2017-01-11 00:08:47,0
29,C14615342747560270,C319,2017-01-10 13:14:31,0
30,C14615362915496210,C871,2017-01-30 10:04:29,0
31,C14615362915496210,C257,2017-01-17 21:59:38,0
32,C14615362915496210,C23,2017-01-22 02:47:57,0
33,C14615339806425970,C494,2017-01-09 02:13:43,0
34,C14615230806211460,C319,2017-01-18 07:13:12,0
35,C14615362915496210,C257,2017-01-11 12:01:26,0
36,C14615224339316630,C319,2017-01-29 03:48:45,0
37,C14615230806211460,C223,2017-01-14 15:13:26,0
38,C14615169567198860,C644,2017-01-28 01:09:08,0
39,C14615224339316630,C72,2017-01-21 01:33:27,0
40,C14615169567198860,C8,2017-01-18 15:07:23,0
41,C14615362915496210,C100,2017-01-09 17:47:28,0
42,C1511354076559433,C45,2017-01-23 20:15:00,0
43,C14615396980726370,C661,2017-01-02 08:34:41,0
44,C14615342747560270,C190,2017-01-24 15:26:03,0
45,C14615224339316630,C611,2017-01-25 02:11:34,0
46,C14615339806425970,C434,2017-01-08 19:24:34,0
47,C14615230806211460,C780,2017-01-21 19:49:51,0
48,C14615362915496210,C79,2017-01-30 13:34:41,0
49,C1508348000516039,C565,2017-01-30 07:55:10,0
50,C14615224339316630,C813,2017-01-21 02:42:51,0
51,C14615342747560270,C229,2017-01-22 11:15:35,0
52,C14615287455297730,C351,2017-01-21 04:19:10,0
53,C14615362915496210,C87,2017-01-30 08:09:18,0
54,C14615362915496210,C11,2017-01-12 22:42:43,0
55,C14615362915496210,C255,2017-01-12 02:37:27,0
56,C14615194667453690,C83,2017-01-19 06:05:12,0
57,C14615232865901060,C184,2017-01-24 08:52:59,0
58,C14615362915496210,C355,2017-01-30 00:21:02,0
59,C14615194667453690,C75,2017-01-11 07:35:24,0
60,C14615230806211460,C481,2017-01-13 02:14:00,0
61,C14615169567198860,C538,2017-01-23 13:02:06,0
62,C14615194667453690,C244,2017-01-21 00:27:38,0
63,C14615350776332570,C191,2017-01-28 19:16:55,0
64,C14615342747560270,C306,2017-01-02 10:28:40,0
65,C14615224339316630,C663,2017-01-03 10:42:21,0
66,C14617010392501520,C231,2017-01-12 19:39:10,0
67,C14615169567198860,C32,2017-01-23 10:03:40,0
68,C14615340116986540,C119,2017-01-20 15:33:56,0
69,C14615362915496210,C250,2017-01-19 16:48:53,0
70,C14615228723636630,C610,2017-01-27 21:54:48,0
71,C14615169567198860,C9,2017-01-19 17:59:54,1
72,C14615362915496210,C267,2017-01-21 17:07:40,0
73,C14615362915496210,C47,2017-01-05 22:37:37,0
74,C14615362915496210,C861,2017-01-14 15:00:39,0
75,C14615194667453690,C366,2017-01-12 16:23:18,0
76,C14615362915496210,C246,2017-01-23 13:30:31,0
77,C14615169567198860,C662,2017-02-03 07:38:31,0
78,C14615426104544740,C198,2017-01-27 18:34:41,1
