,CHIAVE_NUM_CHIAMANTE,DATA_CHIAMATA,ORA_MIN_CHIAMATA,COD_CELLA_CHIAMATA
0,1.461519466745369e+16,20170122,154953,0
1,1.461519466745369e+16,20170129,124034,1
2,1.461519466745369e+16,20170129,124119,1
3,1.461519466745369e+16,20170122,155102,1
4,1.461519466745369e+16,20170122,155138,1
5,1.461535077633257e+16,20170117,190827,2
6,1.461540217340994e+16,20170102,203809,3
7,1.461540217340994e+16,20170125,205548,3
8,1.461533068155997e+16,20170126,162139,4
9,1.461533068155997e+16,20170126,162234,4
10,1.461535077633257e+16,20170207,185411,4
11,1.461543748548591e+16,20170117,211020,5
12,1.461542610454474e+16,20170203,120322,6
13,1.461542610454474e+16,20170203,121210,6
14,1.461542610454474e+16,20170203,121518,6
15,1.461542610454474e+16,20170203,122311,6
16,1.461536328542777e+16,20170208,154019,6
17,1.461542610454474e+16,20170203,191057,6
18,1.461520963808882e+16,20170205,144611,7
19,1.461536291549621e+16,20170113,204151,8
20,1.461536291549621e+16,20170113,204159,8
21,1.461534274756027e+16,20170131,220056,8
22,1.461534274756027e+16,20170131,220100,8
23,1.461534274756027e+16,20170131,220103,8
24,1.461534274756027e+16,20170122,24645,9
25,1.461534274756027e+16,20170122,24703,9
26,1.461534274756027e+16,20170210,114323,9
27,1.461534274756027e+16,20170202,143237,9
28,1.461534274756027e+16,20170208,145126,9
29,1.461534274756027e+16,20170212,151717,9
30,1.461534274756027e+16,20170212,151726,9
31,1.461534274756027e+16,20170212,151748,9
32,1.461534274756027e+16,20170130,181816,9
33,1.461534274756027e+16,20170120,190258,9
34,1.461534274756027e+16,20170204,194504,9
35,1.461534274756027e+16,20170125,200416,9
36,1.461534274756027e+16,20170205,213201,9
37,1.461534274756027e+16,20170205,213637,9
38,1.461534274756027e+16,20170204,202352,9
39,1.461534274756027e+16,20170204,195307,9
40,1.461534274756027e+16,20170120,170917,9
41,1.461520963808882e+16,20170210,95107,10
42,1.461520963808882e+16,20170127,113026,10
43,1.461520963808882e+16,20170202,114400,10
44,1.461520963808882e+16,20170126,123102,10
45,1.461520963808882e+16,20170210,124129,10
46,1.461520963808882e+16,20170206,124613,10
47,1.461520963808882e+16,20170131,130638,10
48,1.461520963808882e+16,20170211,130823,10
49,1.461520963808882e+16,20170127,131553,10
50,1.461520963808882e+16,20170131,132819,10
51,1.461520963808882e+16,20170201,132901,10
52,1.461520963808882e+16,20170130,133421,10
53,1.461520963808882e+16,20170102,142041,10
54,1.461520963808882e+16,20170203,143059,10
55,1.461520963808882e+16,20170203,143224,10
56,1.461520963808882e+16,20170207,150302,10
57,1.461536291549621e+16,20170128,53034,11
58,1.461536291549621e+16,20170109,74823,11
59,1.461536291549621e+16,20170204,114110,11
60,1.461522048473209e+16,20170126,123136,11
61,1.461539644637824e+16,20170104,200802,11
62,1.461536291549621e+16,20170102,201937,11
63,1.461536291549621e+16,20170113,204215,11
64,1.461536291549621e+16,20170113,205553,11
65,1.461536291549621e+16,20170206,122927,11
66,1.461534274756027e+16,20170208,836,12
67,1.461534274756027e+16,20170208,838,12
68,1.461534274756027e+16,20170208,917,12
69,1.461534274756027e+16,20170208,11215,12
70,1.461534274756027e+16,20170208,11254,12
